"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Coastal Wine & Brew LLC","20 E Second St # B","Ocean Isle Beach","NC","28469","7668","","","","9100001111","Wines-Retail","445310","","","","","Private","Brunswick","2.00","435000.00","","2016"
"Coldest Beer In Town Inc","140 Airport Rd # F","Arden","NC","28704","8333","Aleksaudar","Stamatovich","President","8280001111","Beer & Ale-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","","2014"
"College Beverage","3006 Hillsborough St","Raleigh","NC","27607","5435","Raj","Kumar","Owner","9198323778","Wines-Retail","445310","424490","445310","","","Private","Wake","2.00","39000.00","COLLEGEBEVERAGE.COM","2005"
"College Hill Sundries","900 Spring Garden St","Greensboro","NC","27403","2410","James","King III","Owner","3363701372","Beer & Ale-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","","1997"
"Colonial Heights Package Store","4311 Fort Henry Dr","Kingsport","TN","37663","2269","John","Owens","Owner","4232393069","Liquors-Retail","445310","445310","","","","Private","Sullivan","5.00","1214000.00","","1993"
"COLUMBUS ABC Store","250 W Mills St # 3","Columbus","NC","28722","9451","George","Miller","Manager","8288943188","Liquors-Retail","445310","","","","","Private","Polk","4.00","744000.00","ABC.NC.GOV","2000"
"Common Market","2007 Commonwealth Ave","Charlotte","NC","28205","5021","Blake","Barnes","Owner","7043346209","Wines-Retail","445310","445120","722511","722513","","Private","Mecklenburg","20.00","10120000.00","COMMONMARKETISGOOD.COM","2008"
"Community Tap","217 Wade Hampton Blvd","Greenville","SC","29609","5736","Ed","Buffington","Owner","8646312525","Beer & Ale-Retail","445310","424490","","","","Private","Greenville","2.00","748000.00","THECOMMUNITYTAP.COM","2010"
"Conway Liquor Depot","615 Church St","Conway","SC","29526","4839","Sam","Shah","Manager","8434880897","Liquors-Retail","445310","","","","","Private","Horry","1.00","340000.00","","2009"
"Cork & Beans","117 N Elm St","Columbia","NC","27925","","Grace","Bishop","Owner","2527964727","Wines-Retail","445310","722511","","","","Private","Tyrrell","3.00","926000.00","VINEYARDSONTHESCUPPERNONG.COM","2018"
"Cork & Bottle","6705 Clinton Hwy","Knoxville","TN","37912","1021","Tom","Dever","Owner","8659385992","Liquors-Retail","445310","","","","","Private","Knox","7.00","2466000.00","","2001"
"Cork Keg Lic","2304 Morningside Dr # A","Morristown","TN","37814","5547","Daphne","Mcdonald","Manager","4235813333","Liquors-Retail","445310","445310","","","","Private","Hamblen","7.00","1625000.00","","1984"
"Cork Screw Wine Shoppe & Bar","16916 Birkdale Commons Pkwy","Huntersville","NC","28078","1817","Joseph","Klosek","COO","7049870011","Wines-Retail","445310","","","","","Private","Mecklenburg","7.00","3542000.00","CORKSCREWWINEPUB.COM","2004"
"Corks Wine & Spirits","11668 Parkside Dr","Knoxville","TN","37934","2659","Ryan","Mc Elveen","Owner","8656752675","Wines-Retail","445310","","","","","Private","Knox","4.00","1409000.00","CORKSTN.COM","2013"
"Corner Bar Liberty","253 N Greensboro St","Liberty","NC","27298","","Bill","Collins","Owner","3366223496","Beer & Ale-Retail","445310","722410","","","","Private","Randolph","2.00","428000.00","","2009"
"Corner Package Store","1325 Mcilwain Rd","Lancaster","SC","29720","4053","","","","8033139101","Liquors-Retail","445310","445310","","","","Private","Lancaster","2.00","493000.00","","2002"
"Corner Stop 101","1700 Wofford St","Spartanburg","SC","29301","5750","Nipa","Patel","Owner","8645746111","Liquors-Retail","445310","445120","","","","Private","Spartanburg","1.00","344000.00","","2007"
"Corner Store","400 Laurens Rd","Greenville","SC","29607","1832","Jeanie","Fair","Owner","8642421920","Liquors-Retail","445310","445120","","","","Private","Greenville","3.00","1122000.00","","2006"
"Corolla Wine Cigar Gourmet","794M Sunset Blvd","Corolla","NC","27927","9501","Kenny","Garvey","Owner","2524536048","Wines-Retail","445310","","","","","Private","Currituck","1.00","223000.00","COROLLAWINECIGAR.COM","2012"
"Cottingham Liquors Inc","107 W Hampton St","Dillon","SC","29536","3407","Billy","Cottingham","Owner","8437742551","Liquors-Retail","445310","445310","","","","Private","Dillon","2.00","404000.00","","1984"
"Country Store","116 E Academy St","Union","SC","29379","1929","Robin","Price","Owner","8644290717","Liquors-Retail","445310","445310","","","","Private","Union","2.00","330000.00","","2010"
"Cox's Spirits Inc","1301 E Walnut Ave","Dalton","GA","30721","4152","Promod","Naik","Owner","7062782392","Liquors-Retail","445310","445310","","","","Private","Whitfield","3.00","829000.00","","1984"
"Craft Beer Cellar","109 Government Ave SW","Hickory","NC","28602","2936","","","","8283272337","Beer & Ale-Retail","445310","","","","","Private","Catawba","5.00","1240000.00","CRAFTBEERCELLAR.COM","2013"
"Craft Beer In Morrisville Nc","9521 Lumley Rd","Morrisville","NC","27560","6235","","","","9192394368","Beer & Ale-Retail","445310","","","","","Private","Durham","2.00","551000.00","MORRISVILLEBAR.COM","2017"
"Craft City Sip In","2130 New Garden Rd","Greensboro","NC","27410","1606","Tracey L","Duhaime","Other","3368977222","Beer & Ale-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","CRAFTCITYSIPIN.COM","2015"
"Crafted the Beer Store","655 Fairview Rd # F","Simpsonville","SC","29680","6777","","","","8647571217","Beer & Ale-Retail","445310","","","","","Private","Greenville","2.00","748000.00","","2012"
"Crafty Beer Guys LLC","114 S Old Statesville Rd","Huntersville","NC","28078","9658","Shawn","Richards","Owner","7040001111","Beer & Ale-Retail","445310","","","","","Private","Mecklenburg","4.00","2024000.00","","2014"
"Craig's Convenience Store","143 E Darlington St","Florence","SC","29506","2509","Craig","Mcdaniel","Owner","8433179100","Liquors-Retail","445310","445310","","","","Private","Florence","2.00","433000.00","","2007"
"Cramerton ABC Board","202 Market St","Cramerton","NC","28032","1151","Mike","Dickson","Manager","7048247303","Liquors-Retail","445310","493190","445310","","","Private","Gaston","6.00","176000.00","CRAMERTONPD.ORG","2007"
"Crate Wine Market & Project","100 Daniel Dr","Laurel Park","NC","28739","3912","Nicole","Baumann","Owner","8286963283","Wines-Retail","445310","","","","","Private","Henderson","2.00","472000.00","","2016"
"Craven County ABC Store","985 US Highway 70 E","New Bern","NC","28560","6535","Denise","Turnage","Manager","2526332246","Liquors-Retail","445310","","","","","Private","Craven","5.00","1193000.00","","2005"
"Cravin' Wine","1706 US Highway 70 E # A","New Bern","NC","28560","6844","Dan","Moses","Owner","2525142675","Wines-Retail","445310","","","","","Private","Craven","2.00","477000.00","CRAVINWINE.COM","2010"
"Cristy's Liquor Store","4613 Rutledge Pike","Knoxville","TN","37914","3224","John","Meese","Owner","8655228353","Liquors-Retail","445310","445310","","","","Private","Knox","6.00","2114000.00","CRISTYSLIQUOR.COM","1996"
"Crooked Lotus Craft Beer-Wine","1283 Nc Highway 210 # G","Sneads Ferry","NC","28460","","","","","9106206725","Beer & Ale-Retail","445310","","","","","Private","Onslow","4.00","","","2019"
"Crossroads ABC","1739 Springdale Rd","Lancaster","SC","29720","1209","Dosh","Gadder","Manager","8032864870","Liquors-Retail","445310","","","","","Private","Lancaster","2.00","493000.00","","1993"
"Crossroads Liquor Store Inc","6540 Maynardville Pike","Knoxville","TN","37918","4831","Harvey","Bowman","Owner","8656860060","Liquors-Retail","445310","445310","","","","Private","Knox","8.00","2818000.00","","2000"
"Crow Thomas E Co","601 Broad St","Bennettsville","SC","29512","4009","Sam","Thomas","Owner","8434797248","Liquors-Retail","445310","445310","","","","Private","Marlboro","3.00","514000.00","","1999"
"Crow's Nest ABC","3892 S Kings Hwy","Myrtle Beach","SC","29577","4800","Spencer","Crowell","Owner","8432385390","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","CROWSNESTGLOUCESTER.COM","1989"
"Cts Liquor Store","704 Cedar Lane Rd","Greenville","SC","29617","3402","Charles","Stewart","Owner","8642354933","Liquors-Retail","445310","445310","","","","Private","Greenville","1.00","374000.00","","1998"
