"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Hickey's ABC Store","156 2nd St","Cheraw","SC","29520","2728","John","Hickey","Owner","8435377535","Liquors-Retail","445310","445310","","","","Private","Chesterfield","2.00","373000.00","","1984"
"Hickory Wine Shoppe","238 Union Sq NW","Hickory","NC","28601","6110","","","","8283244441","Wines-Retail","445310","453220","","","","Private","Catawba","3.00","744000.00","","1999"
"High Country ABC Store","4501 Tynecastle Hwy","Banner Elk","NC","28604","7257","Sara","Brewer","Manager","8288988282","Liquors-Retail","445310","","","","","Private","Avery","5.00","880000.00","ABC.NC.GOV","2012"
"High Craft Beer","2716 Nc 55 Hwy","Cary","NC","27519","6205","Megan","Ganzert","Owner","9192676593","Beer & Ale-Retail","445310","","","","","Private","Wake","2.00","39000.00","HIGHCRAFTBEER.COM","2014"
"High Point ABC Store","4835 W Wendover Ave # 147","Jamestown","NC","27282","8500","Pat","Foster","Manager","3368562603","Liquors-Retail","445310","","","","","Private","Guilford","2.00","738000.00","HIGHPOINTABC.COM","2012"
"High Spirits Beverage Co LLC","116 E Broad St","Greenville","SC","29601","2812","Tammy","Johnson","President","8642484850","Liquors-Retail","445310","","","","","Private","Greenville","2.00","748000.00","LIQUID-CATERING.COM","2011"
"High Surf Spirits","1610 Highway 17 S # A","Surfside Beach","SC","29575","6082","Scott","Lauer","Owner","8436503453","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","","2000"
"Highland Spirits","10862 Anderson Rd","Piedmont","SC","29673","9418","","","","8642691069","Liquors-Retail","445310","","","","","Private","Anderson","2.00","956000.00","","2006"
"Highlands ABC Store","81 Highlands Walk","Highlands","NC","28741","","Kevin","Vinson","Manager","8285265470","Liquors-Retail","445310","445310","","","","Private","Macon","3.00","621000.00","ABC.NC.GOV","1997"
"Highpoint ABC","201 W Fairfield Rd","High Point","NC","27263","1925","Rosalind","Stewart","Site Manager","3364342146","Liquors-Retail","445310","","","","","Private","Guilford","5.00","1845000.00","HIGHPOINTABC.COM","1989"
"Highway 9 ABC","1412 Pageland Hwy","Lancaster","SC","29720","8540","Tamara","Brooks","Manager","8032851139","Liquors-Retail","445310","445310","","","","Private","Lancaster","2.00","493000.00","","1995"
"Hill Top Beverage","12 Hefner St # 103","East Ellijay","GA","30540","8187","John","Chae","Owner","7066365156","Liquors-Retail","445310","423830","424490","445310","445310","Private","Gilmer","3.00","690000.00","HILLTOPBEVERAGE.COM","2001"
"Hillsborough Wine","118 S Churton St","Hillsborough","NC","27278","2538","Todd","Wielar","Owner","9197324343","Wines-Retail","445310","","","","","Private","Orange","2.00","227000.00","CHAPELHILLWINECOMPANY.COM","2003"
"Hitching Post Pizza Pkg Store","740 S Main St","Ellijay","GA","30540","3604","Al","Hoyle","Owner","7062769924","Beer & Ale-Retail","445310","424810","722511","722513","722511","Private","Gilmer","4.00","920000.00","","1984"
"Hoke County ABC Store","384 Laurinburg Rd","Raeford","NC","28376","2525","Mike","Summers","Manager","9108752020","Liquors-Retail","445310","","","","","Private","Hoke","8.00","1263000.00","ABC.NC.GOV","1999"
"Holmes Spirits","2203 Chattanooga Rd","Dalton","GA","30720","2964","Chris","Chandra","Owner","7062261198","Liquors-Retail","445310","445310","","","","Private","Whitfield","2.00","553000.00","","1996"
"Holston Package Store","4207 Asheville Hwy","Knoxville","TN","37914","3508","","","","8655250774","Liquors-Retail","445310","445310","","","","Private","Knox","2.00","705000.00","","1984"
"Hometown Liquor & Wine Store","113 N Granard St","Gaffney","SC","29341","2342","","","","8646495090","Liquors-Retail","445310","445310","","","","Private","Cherokee","2.00","463000.00","","2014"
"Hook & Ladder Distillery","316 Broad St","Kingsport","TN","37660","4206","Kenneth","Draper","Owner","4233439631","Liquors-Retail","445310","445310","","","","Private","Sullivan","3.00","728000.00","HOOKLADDERSHINE.COM","2016"
"Hooter Ray Spirits","2569 E Highway 76","Marion","SC","29571","6347","Ray","Little","Owner","8434236701","Liquors-Retail","445310","","","","","Private","Marion","2.00","373000.00","","2006"
"Hope Valley Wine & Beverage","4711 Hope Valley Rd","Durham","NC","27707","5651","","","","9194035200","Wines-Retail","445310","","","","","Private","Durham","2.00","551000.00","HOPEVALLEYWINEANDBEVERAGE.COM","2016"
"Hops & Vines","797 Haywood Rd # 100","Asheville","NC","28806","3105","Alex","Buckerholtz","Owner","8282525275","Beer & Ale-Retail","445310","423820","","","","Private","Buncombe","4.00","1792000.00","HOPSANDVINES.NET","2008"
"Horry Spirits Liquor Store","4810 Broad St","Loris","SC","29569","2428","Pavlomi","Patel","Manager","8437561078","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","","1986"
"Howard Liquors Inc","108 Rutherford Rd","Greenville","SC","29609","5463","Peter","Amin","Owner","8642324705","Liquors-Retail","445310","445310","","","","Private","Greenville","2.00","748000.00","","2007"
"Hub City Spirit","916 Howard St","Spartanburg","SC","29303","2830","Jay","Thorn","Owner","8645865440","Liquors-Retail","445310","","","","","Private","Spartanburg","4.00","","HUBCITYSPIRITS.COM","2018"
"Hurricane Liquor","4390 Highway 17 # C2","Murrells Inlet","SC","29576","6433","Jim","West","Owner","8433572300","Liquors-Retail","445310","445310","","","","Private","Georgetown","1.00","236000.00","HURRICANELIQUOR.COM","2007"
"Hyde County ABC Stores","20121 US Highway 264","Swanquarter","NC","27885","9344","Sue","Pointe","Manager","2529283281","Liquors-Retail","445310","","","","","Private","Hyde","2.00","367000.00","HYDECOUNTYNC.GOV","2008"
"Indian Trail ABC Board","5880 W Highway 74","Indian Trail","NC","28079","3759","Charles","Fowler","Manager","7048217667","Liquors-Retail","445310","445310","","","","Private","Union","7.00","1607000.00","","2010"
"Interstate Spirits & Wine","381 Woodmont Rd","Newport","TN","37821","7609","Dale","Cody","Owner","4236130075","Liquors-Retail","445310","445310","","","","Private","Cocke","2.00","427000.00","","2000"
"Island Beverage","1206 Lake Park Blvd N","Carolina Beach","NC","28428","4165","Bryan G","Parker","Owner","9107071423","Liquors-Retail","445310","424490","445310","","","Private","New Hanover","5.00","436000.00","ISLANDBEVERAGECB.COM","2015"
"Island Spice & Wine","40246 Nc 12 Hwy","Avon","NC","27915","1295","Donna","Hashtani","Owner","2529957750","Wines-Retail","445310","","","","","Private","Dare","1.00","236000.00","","1996"
"Island Spirits","4014 Highway 17 S","North Myrtle Bch","SC","29582","5061","James","Mc Corkle","Owner","8432730628","Liquors-Retail","445310","","","","","Private","Horry","2.00","679000.00","","2015"
"J & D Liquors","1600 Tribble St","Anderson","SC","29625","3653","","","","8648449111","Liquors-Retail","445310","445310","","","","Private","Anderson","2.00","956000.00","","2015"
"J & K Liquors","580 Anderson Rd N","Rock Hill","SC","29730","7300","Dawn","Hooper","Manager","8039806652","Liquors-Retail","445310","445310","","","","Private","York","1.00","474000.00","","2012"
"J & S Liquors","5203 Highway 14","Laurens","SC","29360","4356","Tracy","Davis","Manager","8648760819","Liquors-Retail","445310","445310","","","","Private","Laurens","1.00","193000.00","","2012"
"J D's Spirits of Nmb Inc","751 Main St","North Myrtle Bch","SC","29582","3029","","","","8432803492","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2010"
"J D's Spirits of Nmb Inc","9658 N Kings Hwy","Myrtle Beach","SC","29572","4006","Effie","Vandoros","Owner","8434493905","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2010"
"J L Spirits","4630 Augusta Rd","Greenville","SC","29605","1444","Walter","Davenport","Owner","8642775658","Liquors-Retail","445310","445310","445310","","","Private","Greenville","2.00","748000.00","","1984"
"J P Liquor Store","8047 Asheville Hwy","Spartanburg","SC","29303","1560","J S","Patell","Owner","8645039880","Liquors-Retail","445310","","","","","Private","Spartanburg","1.00","344000.00","","1999"
"J P Liquors","2290 Glenns Bay Rd","Myrtle Beach","SC","29575","8617","Julia","Provenzano","Owner","8436505286","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2008"
"Jack Brown's Beer-Burger Joint","805 Dickinson Ave","Greenville","NC","27834","3149","Ryan","Naegel","Manager","2526896827","Beer & Ale-Retail","445310","","","","","Private","Pitt","25.00","5793000.00","JACKBROWNSJOINT.COM","2018"
"Jackie's Package Store","405 N Congress St","Winnsboro","SC","29180","1124","Jackie","Mensey","Owner","8036354561","Liquors-Retail","445310","","","","","Private","Fairfield","2.00","433000.00","","1984"
"Jackie's Two","985 Columbia Rd","Winnsboro","SC","29180","","","","","8036359987","Liquors-Retail","445310","","","","","Private","Fairfield","2.00","433000.00","","2016"
"Jarvis Street Bottle Shop","211 S Jarvis St # 106","Greenville","NC","27858","2052","Tandi","Mahn","Owner","2523642840","Liquors-Retail","445310","445310","","","","Private","Pitt","2.00","464000.00","JARVISSTREETBOTTLESHOP.COM","2016"
"Jasper Beverage-Tobacco Outlet","1109 E Church St","Jasper","GA","30143","1907","Nick","Patel","Owner","7066927955","Liquors-Retail","445310","424490","445299","445310","","Private","Pickens","2.00","431000.00","","1998"
"Jax Liquor Store","1300 E Morris St","Dalton","GA","30721","3690","","","","7062266855","Liquors-Retail","445310","445310","","","","Private","Whitfield","1.00","277000.00","","1986"
"Jc Liquors","11983 Ocean Hwy","Pawleys Island","SC","29585","5401","","","","8439791313","Liquors-Retail","445310","","","","","Private","Georgetown","2.00","472000.00","","2009"
"Jeffreys Warehouses Inc","2026 US Highway 70 W","Goldsboro","NC","27530","9542","George C","Jeffreys","CEO","9197347777","Beer & Ale-Retail","445310","","","","","Private","Wayne","4.00","858000.00","","2011"
"Jenkins Liquor Store","105 N Alabama Ave","Chesnee","SC","29323","1201","Larry","Jenkins","Owner","8644613114","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","1986"
"Jerry's Food Wine & Spirits","7220 Wrightsville Ave","Wilmington","NC","28403","7230","Jerry","Rouse","Owner","9102568847","Wines-Retail","445310","","","","","Private","New Hanover","11.00","958000.00","JERRYSFOODANDWINE.COM","2007"
"Source: Employer information is provided by Infogroup, Omaha, NE,800/555-5211"
"Copyright 2019 All Rights Reserved. "
"Note:  The infoUSA data shall not be used in any manner as a factor in establishing an employer's eligibility for credit. "
"The information or data obtained from the employer database shall not be used in any manner as a factor in establishing an employer's eligibility for credit. Data represents employer database as of March 2019 "
