"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"123 Bottle Shoppe","304 Dicks Hill Pkwy","Mt Airy","GA","30563","","Iftee","Amad","Owner","7067784341","Liquors-Retail","445310","","","","","Private","Habersham","3.00","655000.00","","1987"
"17th Street Market & Deli","115 17th St SW","Knoxville","TN","37916","1313","Randall","Sidwell","Manager","8656734807","Beer & Ale-Retail","445310","445110","445120","722511","722513","Private","Knox","6.00","2114000.00","","1988"
"202 North Main","202 N Main St","Mooresville","NC","28115","2528","Mike","Parker","Owner","7046635445","Wines-Retail","445310","","","","","Private","Iredell","2.00","500000.00","202WINES.COM","2003"
"3 Guys Liquors & Spirits","501 Highway 418 # C","Simpsonville","SC","29680","7161","Phil","Maines","Owner","8648629500","Liquors-Retail","445310","424820","","","","Private","Greenville","1.00","374000.00","3GUYSLIQUORS.COM","2006"
"501 Liquors","152 Middle Ridge Ave","Conway","SC","29526","1504","","","","8432340317","Liquors-Retail","445310","","","","","Private","Horry","2.00","679000.00","","2015"
"580 Craft Beer","354 East St","Pittsboro","NC","27312","9722","","","","9195425431","Beer & Ale-Retail","445310","","","","","Private","Chatham","4.00","747000.00","580CRAFTBEER.COM","2015"
"6 Pac Smokestack","2077 US 70 Hwy # A","Swannanoa","NC","28778","8218","Dean","Mian","Owner","8282982421","Beer & Ale-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","","2002"
"640 Liquor Store","4425 Western Ave","Knoxville","TN","37921","4306","Wesley","Maples","Owner","8656370640","Liquors-Retail","445310","445310","","","","Private","Knox","10.00","3522000.00","","1984"
"68 Wine & Spirits","209 N Main St","Sweetwater","TN","37874","2806","David","Bryan","Owner","4233373050","Liquors-Retail","445310","445310","","","","Private","Monroe","5.00","1054000.00","","2011"
"707 Discount Liquors","8724 Highway 707 # C","Myrtle Beach","SC","29588","7378","","","","8436503077","Liquors-Retail","445310","","","","","Private","Horry","2.00","679000.00","","2010"
"A & C Liquors LLC","9900 N Kings Hwy","Myrtle Beach","SC","29572","4054","Gram","Hoyt","Owner","8432327074","Liquors-Retail","445310","","","","","Private","Horry","1.00","340000.00","","2014"
"A & M Liquor-Party Store","6306 Highway 29 S","Starr","SC","29684","9402","Pete","Patel","President","8642259055","Liquors-Retail","445310","445310","","","","Private","Anderson","1.00","478000.00","","1987"
"A & P Liquor","2309 Reidville Rd","Spartanburg","SC","29301","3651","","","","8647075231","Liquors-Retail","445310","","","","","Private","Spartanburg","2.00","688000.00","","2017"
"A & P Liquor Store","301 E Front St","Mullins","SC","29574","2911","","","","8434642376","Liquors-Retail","445310","445310","","","","Private","Marion","3.00","559000.00","","2011"
"A & S Liquors","202 3rd Loop Rd # F","Florence","SC","29505","3795","","","","8436693005","Liquors-Retail","445310","445310","","","","Private","Florence","3.00","649000.00","","2006"
"A B & C Store Warsaw","114 S Pine St","Warsaw","NC","28398","1925","Diane","Blackburn","Manager","9102934656","Liquors-Retail","445310","","","","","Private","Duplin","3.00","543000.00","","2010"
"A B C Reelsboro","6936 North Carolina Highway 55","Grantsboro","NC","28529","","Dora","Benton","Manager","2527455225","Liquors-Retail","445310","","","","","Private","Pamlico","2.00","618000.00","","2016"
"A J Liquors","120 Highway 14 # 120B","Simpsonville","SC","29681","6056","","","","8649673191","Liquors-Retail","445310","","","","","Private","Greenville","2.00","748000.00","","2010"
"A Sip of Brandi","6462 Whitmire Hwy","Whitmire","SC","29178","9354","Brandy","Brown","Owner","8032815043","Liquors-Retail","445310","","","","","Private","Union","1.00","165000.00","","2017"
"A To Z Liquor","153 Walton Dr","Gaffney","SC","29341","1268","","","","8644892223","Liquors-Retail","445310","445310","","","","Private","Cherokee","2.00","463000.00","","2012"
"Aaa Airport Liquors","2290 S Kings Hwy # B","Myrtle Beach","SC","29577","4820","Phillip","Antoine","Manager","8434480835","Liquors-Retail","445310","312130","","","","Private","Horry","2.00","679000.00","MYRTLEBEACHLIQUORS.COM","2014"
"AAA Package Store","910 W Market St","Johnson City","TN","37604","5331","Ahmed","Usso","Owner","4239280831","Liquors-Retail","445310","","","","","Private","Washington","3.00","901000.00","","1984"
