"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Nautilus Beer Co Inc","48 Patton Ave","Asheville","NC","28801","3321","","","","8280001111","Beer & Ale-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","","2015"
"Nb Liquors","1216 Oakland Ave","Florence","SC","29506","6608","Nilay","Patel","Owner","8436656436","Liquors-Retail","445310","445310","","","","Private","Florence","1.00","217000.00","","1984"
"Nc Wine","605 Providence Rd","Charlotte","NC","28207","1901","","","","7045211353","Wines-Retail","445310","","","","","Private","Mecklenburg","7.00","3542000.00","","2014"
"New Wave Wine & Spirits","1399 S Commons Dr","Myrtle Beach","SC","29588","7768","Brandy","Brunatti","Manager","8436509550","Liquors-Retail","445310","445310","445310","","","Private","Horry","2.00","679000.00","","2012"
"Newport Package Store","203 Cosby Hwy","Newport","TN","37821","2912","Scott","Thornton","Owner","4236251532","Liquors-Retail","445310","445120","","","","Private","Cocke","3.00","641000.00","NEWPORT.GOPICKLE.COM","1985"
"Nexcom Nmc Bldg 256","1 Naval Medical Ctr","Portsmouth","VA","23704","","Sharon","Richards","Manager","7573975857","Wines-Retail","445310","424690","445110","453991","","Private","Portsmouth","3.00","638000.00","NAVYEXCHANGE.COM","2017"
"Nice-N LLC","550 Howard St","Spartanburg","SC","29303","3549","","","","8645850202","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","2010"
"Nine-O-Three Package Shop","1453 Flat Creek Rd","Lancaster","SC","29720","7663","Shailesh","Gajjar","Owner","8032859511","Liquors-Retail","445310","445310","","","","Private","Lancaster","1.00","247000.00","","1984"
"Nizzie's Package Store","1902 Chattanooga Rd","Dalton","GA","30720","3045","Nizzies","Waikim","Owner","7062791800","Liquors-Retail","445310","445310","","","","Private","Whitfield","3.00","829000.00","","1996"
"No 2 Nags Head","2210 S Croatan Hwy","Nags Head","NC","27959","8812","","","","2524415121","Liquors-Retail","445310","","","","","Private","Dare","11.00","2588000.00","","2014"
