"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Beaufort County ABC Store","968 US Highway 264 Byp","Belhaven","NC","27810","9290","Morgan","Sparrow","Manager","2529432107","Liquors-Retail","445310","","","","","Private","Beaufort","1.00","187000.00","","1995"
"Beaufort County ABC Store 2","320 North Carolina Highway 33","Aurora","NC","27806","","Sherri L","Hollister","Manager","2523225274","Liquors-Retail","445310","","","","","Private","Beaufort","1.00","187000.00","CO.BEAUFORT.NC.US","1998"
"Beaufort Wine & Food Weekend","129 Middle Ln","Beaufort","NC","28516","2158","","","","2525150708","Wines-Retail","445310","","","","","Private","Carteret","2.00","412000.00","BEAUFORTWINEANDFOOD.ORG","2017"
"Beer & Wine Express","593 US 441 N","Whittier","NC","28789","4530","","","","8284976990","Beer & Ale-Retail","445310","","","","","Private","Jackson","4.00","860000.00","BEERANDWINEEXPRESS.COM","2016"
"Beer Army Productions LLC","1620 Old Cherry Point Rd # 305","New Bern","NC","28564","4538","","","","2522885814","Beer & Ale-Retail","445310","","","","","Private","Craven","4.00","954000.00","THEBEERARMY.COM","2015"
"Beer City Bicycle","897 Riverside Dr","Asheville","NC","28804","3221","Frank","Smith","Manager","8285752453","Beer & Ale-Retail","445310","451110","451110","532284","","Private","Buncombe","4.00","1792000.00","BEERCITYBICYCLES.COM","2017"
"Beer City Crossfit","70 Westside Dr","Asheville","NC","28806","2845","Abby","Mcdonnell","Owner","8286764362","Beer & Ale-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","BEERCITYCROSSFIT.COM","2016"
"Beer Co","121 W Mcgee St # D","Greensboro","NC","27401","2784","","","","3367632204","Beer & Ale-Retail","445310","","","","","Private","Guilford","1.00","369000.00","BEERADVOCATE.COM","1996"
"Beer Co","106 W Elm St","Graham","NC","27253","2802","","","","3366843628","Beer & Ale-Retail","445310","","","","","Private","Alamance","4.00","","BEERCOINC.COM","2019"
"Beer Dispensary LLC","112 S Salem St","Apex","NC","27502","","","","","9192676040","Beer & Ale-Retail","445310","","","","","Private","Wake","2.00","39000.00","CRAFTBEEROFAPEX.COM","2010"
"Beer Exchange","606 E 10th St","Charlotte","NC","28202","3130","","","","9542492066","Beer & Ale-Retail","445310","","","","","Private","Mecklenburg","4.00","2024000.00","THEBEEREXCHANGE.IO","2013"
"Beer Express","21 Kudzu Ln","Whittier","NC","28789","","","","","8284976990","Beer & Ale-Retail","445310","","","","","Private","Jackson","4.00","860000.00","BEERANDWINEEXPRESS.COM","2016"
"Beer Life LLC","1620 Fairfax Rd","Greensboro","NC","27407","4139","Brianna","Craig","Manager","3360001111","Beer & Ale-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","","2018"
"Beer Over Bogeys","109 Cherokee Ln","Bristol","TN","37620","","","","","4230001111","Beer & Ale-Retail","445310","","","","","Private","Sullivan","2.00","486000.00","BEEROVERBOGEYS.COM","2017"
"Beer Republic Elon LLC","901 E Haggard Ave","Elon","NC","27244","9133","Kimberly A","Sparrow","Owner","3360001111","Beer & Ale-Retail","445310","","","","","Private","Alamance","4.00","864000.00","","2016"
"Beerded Lady Bottle Shop","1350 5th Ave # 170","Garner","NC","27529","3875","Shannon C","Cummings","Other","9199953602","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","THEBEERDEDLADY.COM","2016"
"Beers Enterprises","121 W Morgan St","Raleigh","NC","27601","1335","","","","9198344199","Beer & Ale-Retail","445310","","","","","Private","Wake","2.00","39000.00","","2012"
"Belmont Package Co","110 Belmont Dr","Bristol","TN","37620","4922","Paula","Matzner","Manager","4239684742","Liquors-Retail","445310","","","","","Private","Sullivan","3.00","728000.00","BELMONTPACKAGE.COM","1984"
"Belville ABC","477 Olde Waterford Way","Belville","NC","28451","4201","Michelle","York","Manager","9103716863","Liquors-Retail","445310","445310","","","","Private","Brunswick","6.00","1304000.00","","2009"
"Beverage World Beer Wine & Pr","801 Big A Rd","Toccoa","GA","30577","6025","Nick","Patel","Owner","7068270099","Beer & Ale-Retail","445310","445310","","","","Private","Stephens","3.00","715000.00","","2012"
"Big Time Beverage","1285 E Andrew Johnson Hwy","Greeneville","TN","37745","5806","Rick","Lilly","Manager","4236395100","Liquors-Retail","445310","445310","","","","Private","Greene","2.00","431000.00","","1996"
"Black Chicken Fine Wine","113 E North Main St","Waxhaw","NC","28173","6029","","","","7048437756","Wines-Retail","445310","","","","","Private","Union","2.00","459000.00","BLACKCHICKENWINECELLAR.COM","2014"
"Black Chicken Wine Seller","131 Matthews Station St # 1B","Matthews","NC","28105","6786","Jason","Niec","Owner","7043211244","Wines-Retail","445310","","","","","Private","Mecklenburg","1.00","506000.00","BLACKCHICKENWINECELLAR.COM","2011"
"Black Mountain ABC","207 Nc 9 Hwy","Black Mountain","NC","28711","3426","Randy","Reece","Manager","8286692385","Liquors-Retail","445310","445310","","","","Private","Buncombe","5.00","2240000.00","EXPLOREBLACKMOUNTAIN.COM","1993"
