"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Wine Fifty Five LLC","21 W Colony Pl # 110","Durham","NC","27705","5589","Thomas","Thorne","Owner","9190001111","Wines-Retail","445310","","","","","Private","Durham","2.00","551000.00","","2015"
"Wine Maestro","279 Williamson Rd # G","Mooresville","NC","28117","6969","","","","7046641452","Wines-Retail","445310","","","","","Private","Iredell","4.00","999000.00","WINEMAESTRO.COM","2009"
"Wine Maestro","121 W Broad St","Statesville","NC","28677","5257","Liz","Petree","Owner","7048839463","Wines-Retail","445310","","","","","Private","Iredell","5.00","1249000.00","WINEMAESTRODOWNTOWNSTATESVILLE.COM","2003"
"Wine Maestro","319 N Oakwood Dr","Statesville","NC","28677","4123","","","","7048837467","Wines-Retail","445310","","","","","Private","Iredell","5.00","1249000.00","WINEMAESTRODOWNTOWNSTATESVILLE.COM","2014"
"Wine Merchant","4240 NW Cary Pkwy","Cary","NC","27513","8477","Kurt G","Saylor","President","9194691330","Wines-Retail","445310","454110","","","","Private","Wake","2.00","39000.00","WINEMERCHANTRALEIGH.COM","1981"
"Wine Merchants Gourmet","205 S Stratford Rd # N","Winston Salem","NC","27103","1872","James","Bronk","Owner","3367658175","Wines-Retail","445310","","","","","Private","Forsyth","3.00","1446000.00","VIN205.COM","1912"
"Wine O'Candle Co LLC","5409 Pheasant Dr","North Myrtle Bch","SC","29582","9331","William","Kearns","Manager","8433900756","Wines-Retail","445310","","","","","Private","Horry","4.00","1357000.00","","2018"
"Wine On Main","459 E Main St","Clayton","NC","27520","2528","Hipolito","Clark","Owner","9198798520","Wines-Retail","445310","","","","","Private","Johnston","2.00","478000.00","WINEONMAINNC.COM","2016"
"Wine Rack","102 W Brown St","Southport","NC","28461","3402","Ray","Williams","Owner","9104575147","Wines-Retail","445310","","","","","Private","Brunswick","2.00","435000.00","SOUTHPORTWINERACK.COM","2001"
"Wine Sampler","4107 Oleander Dr # I","Wilmington","NC","28403","6837","Robert","Cooley","Owner","9107969463","Wines-Retail","445310","","","","","Private","New Hanover","1.00","88000.00","THEWINESAMPLER.COM","2007"
"Wine Shop","305 Murphy Hwy","Blairsville","GA","30512","3170","","","","7067459463","Wines-Retail","445310","","","","","Private","Union","3.00","641000.00","745WINE.COM","2011"
"Wine Shop","3 Laurel Terrance","Cashiers","NC","28717","","","","","8287431823","Wines-Retail","445310","","","","","Private","Jackson","2.00","430000.00","","2014"
"Wine Shop At Rivergate","14142 Rivergate Pkwy # 200","Charlotte","NC","28273","8901","Devin","Allen","Manager","7048319000","Wines-Retail","445310","312130","999990","","","Private","Mecklenburg","25.00","12649000.00","THEWINESHOPATRIVERGATE.COM","2008"
"Wine Shoppe","3809 Highway 17 S # C","North Myrtle Bch","SC","29582","5096","Bob","Simon","Manager","8432726941","Wines-Retail","445310","425120","","","","Private","Horry","4.00","1357000.00","MYRTLEBEACHWINE.COM","2001"
"Wine Vault","9009 J M Keynes Dr # 1","Charlotte","NC","28262","8001","Tim","Wallace","Owner","7045489463","Wines-Retail","445310","","","","","Private","Mecklenburg","7.00","3542000.00","HEADWINO.COM","2000"
"Wine Xpress","202 Scuffletown Rd","Simpsonville","SC","29681","7202","Kevin","Patel","Owner","8642836049","Liquors-Retail","445310","","","","","Private","Greenville","11.00","4112000.00","FIVEFORKSWINE.COM","2018"
"WINE.COM","2933 S Miami Blvd # 126","Durham","NC","27703","8054","Siyonka","Braswell","Manager","9194052530","Wines-Retail","445310","999990","","","","Private","Durham","1.00","276000.00","WINE.COM","2010"
"Wines & Wares","1 N Marine Blvd","Jacksonville","NC","28540","6506","Neil","Cockrell","Owner","9103477300","Wines-Retail","445310","453220","","","","Private","Onslow","1.00","216000.00","WINESANDWARES.COM","2005"
"Winestore","720 Governor Morrison St # 150","Charlotte","NC","28211","6600","Matt","Snyder","Owner","7044424024","Wines-Retail","445310","454110","","","","Private","Mecklenburg","1.00","506000.00","WINESTORE-ONLINE.COM","2006"
"Winestore","1800 E Franklin St # 25","Chapel Hill","NC","27514","5816","","","","7048027033","Wines-Retail","445310","","","","","Private","Orange","3.00","340000.00","WINESTORE-ONLINE.COM","2018"
"Winestore","1008 Market Center Dr","Morrisville","NC","27560","7503","","","","7044424024","Wines-Retail","445310","","","","","Private","Wake","2.00","39000.00","","2015"
"Winestore","1125 Military Cutoff Rd # N","Wilmington","NC","28405","3652","","","","9102399479","Wines-Retail","445310","","","","","Private","New Hanover","4.00","349000.00","WINESTORE-ONLINE.COM","2016"
"Winestore Blakeney","9831 Rea Rd # E","Charlotte","NC","28277","6655","Matt","Snyder","Owner","7044432944","Wines-Retail","445310","","","","","Private","Mecklenburg","7.00","3542000.00","WINESTORE-ONLINE.COM","2011"
"Winestore Lake Norman LLC","19400 Jetton Rd","Cornelius","NC","28031","4401","","","","7048925662","Wines-Retail","445310","","","","","Private","Mecklenburg","7.00","3542000.00","WINESTORE-ONLINE.COM","2012"
"WINESTYLES","3326 W Friendly Ave # 141","Greensboro","NC","27410","4879","Tiffany","Reynolds","Owner","3362994505","Wines-Retail","445310","812112","","","","Private","Guilford","3.00","1107000.00","WINESTYLES.COM","2008"
"Winnsboro Package Store","318 S Congress St","Winnsboro","SC","29180","1404","Nikhil","Patel","Owner","8036359918","Liquors-Retail","445310","","","","","Private","Fairfield","1.00","217000.00","","1985"
"Winston-Salem Wine Shop","1231 Creekshire Way","Winston Salem","NC","27103","3057","Winifred K","Kniejski","Other","3368936950","Wines-Retail","445310","","","","","Private","Forsyth","1.00","482000.00","WSWINEMARKET.COM","2013"
"Woodfin ABC","142 Weaverville Rd","Asheville","NC","28804","1238","Tammy","Ballew","Manager","8286589336","Liquors-Retail","445310","","","","","Private","Buncombe","5.00","2240000.00","WOODFINABC.NET","2007"
"Woodruff ABC Store","904 N Main St","Woodruff","SC","29388","9023","Preston","Thackston","Owner","8644769608","Liquors-Retail","445310","","","","","Private","Spartanburg","1.00","344000.00","","2009"
"Worth the Wine Co","1076 Weddington Woods St NW","Concord","NC","28027","8143","Lindsay G","Hitt","Owner","7040001111","Wines-Retail","445310","","","","","Private","Cabarrus","2.00","465000.00","","2016"
"Ws Wine Market LLC","1231 Creekshire Way","Winston Salem","NC","27103","3057","Elizabeth A","Binder","Manager","3368936950","Wines-Retail","445310","","","","","Private","Forsyth","1.00","482000.00","","2017"
"Yeager ABC","1700 Church St","Conway","SC","29526","2982","","","","8432483131","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","","2006"
"Youngsville ABC Store","101 N College St","Youngsville","NC","27596","","Laurie","Leedy","Manager","9195563590","Liquors-Retail","445310","","","","","Private","Franklin","3.00","654000.00","","2002"
"Zennubian 7 Global Wine Market","144 N Center St","Goldsboro","NC","27530","3621","","","","9195835072","Wines-Retail","445310","","","","","Private","Wayne","2.00","429000.00","","2015"
"Source: Employer information is provided by Infogroup, Omaha, NE,800/555-5211"
"Copyright 2019 All Rights Reserved. "
"Note:  The infoUSA data shall not be used in any manner as a factor in establishing an employer's eligibility for credit. "
"The information or data obtained from the employer database shall not be used in any manner as a factor in establishing an employer's eligibility for credit. Data represents employer database as of March 2019 "
