"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Mecklenburg County Alcoholic","3333 N Tryon St","Charlotte","NC","28206","2050","Earl","Leake","Chairman","7047315856","Liquors-Retail","445310","","","","","Private","Mecklenburg","4.00","2024000.00","MECKABC.COM","1958"
"Mecklinburg County ABC Store","3401 David Cox Rd","Charlotte","NC","28269","2200","","","","7045975487","Liquors-Retail","445310","445310","","","","Private","Mecklenburg","4.00","2024000.00","MECKABC.COM","2018"
"Mediterrean Wine Merchants","221 Grogan Dr # 700","Dawsonville","GA","30534","0998","George W","Abarr III","CEO","7062658615","Wines-Retail","445310","","","","","Private","Dawson","3.00","721000.00","","2010"
"Meg's Wine & Spirits","5454 Millertown Pike","Knoxville","TN","37924","2141","Bobby","Patel","Manager","8655442824","Liquors-Retail","445310","445310","","","","Private","Knox","5.00","1761000.00","","2008"
"Melvin Jack","5490 Highway 19 E","Hampton","TN","37658","3048","Jack","Melvin","","4237253007","Beer & Ale-Retail","445310","","","","","Private","Carter","2.00","437000.00","","2016"
"Meme's ABC","3229 Highway 701 N","Conway","SC","29526","5734","Aaliyah","Durant","Manager","8433690222","Liquors-Retail","445310","","","","","Private","Horry","1.00","340000.00","","2018"
"Merchants Liquor Store","112 Cedar Ln","Knoxville","TN","37912","3505","Jerry","Arthur","Owner","8656885449","Liquors-Retail","445310","445310","","","","Private","Knox","5.00","1761000.00","","1984"
"Merchants of Beer","137 S Central St","Knoxville","TN","37902","1011","Karim V","Boghani","Manager","8650001111","Beer & Ale-Retail","445310","","","","","Private","Knox","2.00","705000.00","","2017"
"Merry Wine Market","108 W State St","Black Mountain","NC","28711","3419","Scott","Counts","Owner","8286699050","Wines-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","MERRYWINEMARKET.COM","2004"
"Metro Wines","157 Charlotte St","Asheville","NC","28801","1917","","","","8285759525","Wines-Retail","445310","","","","","Private","Buncombe","2.00","896000.00","METROWINESASHEVILLE.COM","2013"
"Micky Finn's","194 S Cashua Dr","Florence","SC","29501","4080","Rick","Havekost","President","8433179463","Liquors-Retail","445310","445310","445310","","","Private","Florence","20.00","4325000.00","MICKYFINNS.COM","1999"
"Micky Finn's South","550 Pamplico Hwy","Florence","SC","29505","6085","Brian","Holt","Manager","8434131182","Liquors-Retail","445310","445310","","","","Private","Florence","9.00","1947000.00","MICKYFINNS.COM","1998"
"Middlebrook Liquor Store","7431 Middlebrook Pike","Knoxville","TN","37909","3110","Arthur C","Ely","Owner","8656912903","Liquors-Retail","445310","445310","","","","Private","Knox","3.00","1057000.00","MIDDLEBROOKLIQUORSTORE.COM","1984"
"Millers Country Store","14226 Nc Highway 194 N","Lansing","NC","28643","9287","","","","3363841514","Liquors-Retail","445310","445120","","","","Private","Ashe","5.00","972000.00","","2015"
"Milo","9380 Ocean Hwy # C","Pawleys Island","SC","29585","7595","Martin","Jones","Owner","8432377221","Liquors-Retail","445310","","","","","Private","Georgetown","2.00","472000.00","MILOINC.COM","2014"
"Mind Yer P's & Q's","12744 Kingston Pike # 104","Knoxville","TN","37934","0941","Marci R","Stiles","Owner","8652887827","Beer & Ale-Retail","445310","","","","","Private","Knox","2.00","705000.00","","2015"
"Mini","5115 Western Blvd","Raleigh","NC","27606","1639","","","","9198591338","Beer & Ale-Retail","445310","","","","","Private","Wake","2.00","39000.00","","2016"
"Mixed Beverage Store/Warehouse","1840 S York Rd","Gastonia","NC","28052","6102","Larry","Beck","Exec Director","7048654173","Liquors-Retail","445310","531130","","","","Private","Gaston","2.00","59000.00","","2000"
"Mocksville-Cooleemee ABC Board","7768 Nc Hwy 801 S","Cooleemee","NC","27014","0200","Carolyn","Overcash","Manager","3362844106","Liquors-Retail","445310","445310","","","","Private","Davie","3.00","636000.00","YADTEL.NET","1992"
"Mona Lisa Beverage","508 N Kings Hwy","Myrtle Beach","SC","29577","3947","Scott","Smith","Manager","8437122920","Liquors-Retail","445310","445110","","","","Private","Horry","2.00","679000.00","","2011"
"Montgomery ABC Board","509 E Main St","Biscoe","NC","27209","9779","Phillip","Richardson","Manager","9104282231","Liquors-Retail","445310","445310","","","","Private","Montgomery","6.00","1064000.00","","1984"
"Montgomery Municipal ABC","202 Julias Chambers Ave","Mt Gilead","NC","27306","","Philip","Richardson","Manager","9104395709","Liquors-Retail","445310","","","","","Private","Montgomery","4.00","709000.00","","1984"
"Moonville Package Store","7704 Augusta Rd # L","Piedmont","SC","29673","6576","Andrea","Evans","Owner","8642995502","Liquors-Retail","445310","445310","","","","Private","Greenville","1.00","374000.00","","2004"
"Morehead Wine & Design","1514 Galley Cir","Morehead City","NC","28557","4052","","","","2526467378","Wines-Retail","445310","","","","","Private","Carteret","2.00","412000.00","","2015"
"Motte & Sons Bootlegging Co","220 E Daniel Morgan Ave","Spartanburg","SC","29302","1513","","","","8643081844","Liquors-Retail","445310","312120","312140","","","Private","Spartanburg","2.00","688000.00","MOTTEANDSONS.COM","2014"
"Mountain Spirits","3503 Highway 411 N # 101","Chatsworth","GA","30705","6544","Moe","Awad","Manager","7065172740","Liquors-Retail","445310","","","","","Private","Murray","4.00","946000.00","","2005"
"Mountaintop Wine Shoppe LLC","269 Oak St","Highlands","NC","28741","","Bobby","Lewis","Owner","8285264080","Wines-Retail","445310","","","","","Private","Macon","2.00","414000.00","HIGHLANDSWINESHOPPE.COM","2014"
"Mozingo Liquors Inc","877 W Carolina Ave","Hartsville","SC","29550","4448","Chuck","Gainey","Manager","8433325441","Liquors-Retail","445310","445310","445310","","","Private","Darlington","1.00","216000.00","","1984"
"Mozingo Liquors Inc","101 S Railroad Ave","Lamar","SC","29069","","Todd","Mozingo","Manager","8433265121","Liquors-Retail","445310","","","","","Private","Darlington","3.00","646000.00","","1987"
"Mozingo Liquors Inc Store","717 S 5th St","Hartsville","SC","29550","5709","Todd","Mozingo","Manager","8433329931","Liquors-Retail","445310","445310","445310","","","Private","Darlington","2.00","431000.00","","1984"
"Mozingo Liquors Inc Store","120 S 6th St","Hartsville","SC","29550","4208","Todd","Mozingo","Owner","8433326554","Liquors-Retail","445310","445310","445310","445310","","Private","Darlington","2.00","431000.00","","1984"
"Mr Papas & Beer LLC","330 Broad St # 1","Kingsport","TN","37660","4270","","","","4232472200","Beer & Ale-Retail","445310","","","","","Private","Sullivan","2.00","486000.00","","2015"
"Mt Holly ABC Store","2100 Springs St # B","Mt Holly","NC","28120","3104","Tammy","Thomas","Manager","7048273733","Liquors-Retail","445310","445310","","","","Private","Gaston","8.00","234000.00","","2005"
"Muddy Waters Wine & Spirits","623 N Tennessee Ave","Etowah","TN","37331","1752","","","","4237817142","Wines-Retail","445310","","","","","Private","McMinn","8.00","1749000.00","MUDDYWATERSTN.COM","2014"
"Muddy Waters Wine-Spirits Two","2624 Decatur Pike","Athens","TN","37303","4930","","","","4232520001","Liquors-Retail","445310","445310","445310","","","Private","McMinn","3.00","656000.00","","2015"
"Murphy ABC Store","818 W US Highway 64","Murphy","NC","28906","8116","Olivia","Anderson","Manager","8288375514","Liquors-Retail","445310","445310","","","","Private","Cherokee","10.00","1964000.00","","2009"
"Murphy Co","540 W US Highway 64","Murphy","NC","28906","3179","Matthew","White","Owner","8285161630","Wines-Retail","445310","","","","","Private","Cherokee","2.00","393000.00","THEMURPHYCOMPANY.NET","2018"
"Murrells Inlet Liquor","764 Mink Ave","Murrells Inlet","SC","29576","6300","Michele","Bourdua","Owner","8436517639","Liquors-Retail","445310","445310","","","","Private","Georgetown","1.00","236000.00","","2000"
"Mutual Distributing Co","4041 Center Place Dr","Harrisburg","NC","28075","7435","Adrian","Rohr","Regional Mgr","7044543136","Liquors-Retail","445310","","","","","Private","Cabarrus","4.00","930000.00","MUTUAL-DISTRIBUTING.COM","2015"
"My Custom Wine","10508 Bailey Rd # 103","Cornelius","NC","28031","9096","Joel","Lemke","Owner","7048402116","Wines-Retail","445310","","","","","Private","Mecklenburg","1.00","506000.00","MYCUSTOMWINE.COM","2017"
"My Liquor","1486 Pearman Dairy Rd","Anderson","SC","29625","2000","","","","8643536716","Liquors-Retail","445310","","","","","Private","Anderson","2.00","956000.00","MYLIQUORANDERSON.COM","2017"
"Myrtle Beach Liquor","2010 N Kings Hwy","Myrtle Beach","SC","29577","3154","","","","8434486468","Liquors-Retail","445310","453991","","","","Private","Horry","2.00","679000.00","THEMYRTLEBEACHLIQUORSTORE.COM","1979"
"Mystery Brewing Co Public Hse","230 S Nash St","Hillsborough","NC","27278","2339","Erik","Lars Myers","Owner","9192451325","Tasting Rooms","445310","312120","454110","","","Private","Orange","4.00","453000.00","MYSTERYBREWING.COM","2013"
"Nash County ABC","1123 Jeffreys Rd # 4","Rocky Mount","NC","27804","1866","Evelyn","Vines","Manager","2524469174","Liquors-Retail","445310","","","","","Private","Nash","4.00","925000.00","","2011"
"Nash County ABC","1206 Eastern Ave","Nashville","NC","27856","1817","Mike","Murray","Manager","2524592318","Liquors-Retail","445310","921120","","","","Private","Nash","9.00","2081000.00","","2010"
"Nash County ABC Store","426 W Thomas St","Rocky Mount","NC","27804","5334","Mike","Murray","Manager","2524424637","Liquors-Retail","445310","","","","","Private","Nash","5.00","1157000.00","","1984"
"Nash County ABC Store","200 Sharpe Rd","Sharpsburg","NC","27878","","Donald","Bunn","Manager","2524428840","Liquors-Retail","445310","","","","","Private","Nash","2.00","463000.00","","1984"
"Nash County ABC Store","706 E Nash St","Spring Hope","NC","27882","","","","","2524783437","Liquors-Retail","445310","","","","","Private","Nash","2.00","463000.00","","1985"
"Nash County ABC Store","7183 Nc 4","Battleboro","NC","27809","","Tommy","Griffin","Manager","2529854259","Liquors-Retail","445310","","","","","Private","Nash","2.00","463000.00","","1996"
"Nash County ABC Store 9","1091 N Winstead Ave","Rocky Mount","NC","27804","8750","Norman","Casey","Manager","2524433428","Liquors-Retail","445310","","","","","Private","Nash","5.00","1157000.00","","1984"
"Source: Employer information is provided by Infogroup, Omaha, NE,800/555-5211"
"Copyright 2019 All Rights Reserved. "
"Note:  The infoUSA data shall not be used in any manner as a factor in establishing an employer's eligibility for credit. "
"The information or data obtained from the employer database shall not be used in any manner as a factor in establishing an employer's eligibility for credit. Data represents employer database as of March 2019 "
