"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Alcoholics Beverage Control","1437 Sams Dr # 20","Chesapeake","VA","23320","4502","Aritha","James","Site Manager","7574360455","Liquors-Retail","445310","445310","","","","Private","Chesapeake","5.00","1294000.00","","2003"
"Alcoholics Beverage Control","5900 E Virginia Beach Blvd # 2","Norfolk","VA","23502","2530","Amanda","Cook","Site Manager","7574553832","Liquors-Retail","445310","445310","","","","Private","Norfolk","12.00","3167000.00","","1992"
"All About Spirits","1832 Woodruff Rd","Greenville","SC","29607","5935","Joe","Bham","Owner","8646760990","Liquors-Retail","445310","445310","445310","","","Private","Greenville","2.00","748000.00","","2003"
"All American Liquor","3033 Wade Hampton Blvd # F","Taylors","SC","29687","2779","Frank","Salerno","Owner","8642683033","Liquors-Retail","445310","445310","","","","Private","Greenville","6.00","2243000.00","","2013"
"All American Liquor","14158 E Wade Hampton Blvd","Greer","SC","29651","1554","","","","8646557625","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","2014"
"All American Liquor","121 W Butler Rd","Mauldin","SC","29662","2534","","","","8645341094","Liquors-Retail","445310","","","","","Private","Greenville","2.00","748000.00","","2016"
"All In Good Spirits Inc","11990 Highway 17 Byp","Murrells Inlet","SC","29576","9379","","","","8433570573","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2016"
"All In Good Spirits Inc","117 Maryport Dr","Myrtle Beach","SC","29575","6513","Guy","Guglielmi","Owner","8438392180","Liquors-Retail","445310","445310","","","","Private","Horry","4.00","1357000.00","","2014"
"Allison Oaks Vineyards","221 E Main St","Yadkinville","NC","27055","8259","Gene","Renegar","Owner","3366771388","Wines-Retail","445310","111332","","","","Private","Yadkin","3.00","550000.00","EVENTECTIVE.COM","1997"
"Alpine Brew-Bottle Haus Pkg","8265 S Main St","Helen","GA","30545","3651","Dottie","Jackson","Owner","7068783196","Liquors-Retail","445310","445310","","","","Private","White","2.00","462000.00","","1986"
"American Liquors","116A Highway 17 N","Surfside Beach","SC","29575","6035","","","","8434775628","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2004"
"American South Wines LLC","7760 Silver View Ln","Raleigh","NC","27613","1455","","","","9199010626","Wines-Retail","445310","","","","","Private","Wake","2.00","39000.00","AMERICANSOUTHWINES.COM","2014"
"Amite Inc","115 Bountyland Rd","Seneca","SC","29672","6673","","","","8648861223","Liquors-Retail","445310","445310","","","","Private","Oconee","2.00","435000.00","","2012"
"Anderson's ABC","905 Church St","Conway","SC","29526","4133","Bruce","Anderson","Owner","8434882531","Liquors-Retail","445310","","","","","Private","Horry","3.00","1018000.00","","1996"
"Andrews Liquor","505 W Main St","Andrews","SC","29510","4424","Irvin","Lambert","Owner","8432644080","Liquors-Retail","445310","","","","","Private","Georgetown","2.00","472000.00","","2009"
"Andy's ABC Liquor Store","1354 Boiling Springs Rd","Spartanburg","SC","29303","2244","Andy","Patel","Owner","8645779755","Liquors-Retail","445310","445120","","","","Private","Spartanburg","2.00","688000.00","","2012"
"Andy's BWL Inc","711 S Kings Hwy","Myrtle Beach","SC","29577","4412","Brenda","Lee","Owner","8434487443","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","1984"
"Apex Beverage Co","94 Rushing Wind Way","Apex","NC","27502","3884","Eric","Stokes","Owner","9193679414","Liquors-Retail","445310","424490","","","","Private","Wake","2.00","39000.00","APEXBEVERAGECOMPANY.COM","2008"
"Apex Fine Wine","107 Edinburgh South Dr # 204","Cary","NC","27511","6455","Eric","Stokes","Owner","9199248872","Wines-Retail","445310","","","","","Private","Wake","3.00","58000.00","APEXFINEWINE.COM","2018"
"Appalachian Beverage","399 Mountain View Dr","East Ellijay","GA","30540","6115","Mark","West","Owner","7065159463","Liquors-Retail","445310","423830","445310","445310","445310","Private","Gilmer","5.00","1149000.00","APPALACHIANBEVERAGE.COM","2005"
"Appalachian Vintner Inc","745 Biltmore Ave # 121","Asheville","NC","28803","2556","G R","Alexander","Owner","8285057500","Wines-Retail","445310","","","","","Private","Buncombe","2.00","896000.00","APPALACHIANVINTNER.COM","2008"
"Arrowhead Spirits","890B Lake Arrowhead Rd","Myrtle Beach","SC","29572","","Pam","Soles","Manager","8434499500","Liquors-Retail","445310","","","","","Private","Horry","3.00","1018000.00","ARROWHEADSPIRITS.COM","2010"
