"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"War Hill Beverage","40 War Hill Park Rd","Dawsonville","GA","30534","7377","","","","7062160069","Liquors-Retail","445310","424490","445310","","","Private","Dawson","2.00","481000.00","","2012"
"Warehouses","7587 S Northshore Dr","Knoxville","TN","37919","8002","Lloyd","Davis","Owner","8656917680","Liquors-Retail","445310","445310","","","","Private","Knox","4.00","1409000.00","WAREHOUSELIQUORS.COM","1984"
"Warren County ABC Board","","Norlina","NC","27563","","","","","2524566053","Liquors-Retail","445310","","","","","Private","Warren","5.00","757000.00","","2002"
"Wateree Enterprises Liquor Str","698B Highway 1 S","Lugoff","SC","29078","9414","Ron","Syer","Owner","8034381323","Liquors-Retail","445310","445310","","","","Private","Kershaw","2.00","409000.00","","1984"
"Waxhaw ABC Board","2528 Cuthbertson Rd","Waxhaw","NC","28173","","Cheryl","Wilson","Manager","7042434241","Liquors-Retail","445310","","","","","Private","Union","5.00","1148000.00","","2015"
"Wayne County ABC Store","1316 W Grantham St","Goldsboro","NC","27530","1151","Connie","Leitch","Manager","9197368005","Liquors-Retail","445310","","","","","Private","Wayne","4.00","858000.00","WAYNE.ABC.NC.GOV","2005"
"Waynesville ABC Board","52 Dayco Dr","Waynesville","NC","28786","6070","Joy","Rasmus","Manager","8284524444","Liquors-Retail","445310","445310","","","","Private","Haywood","11.00","2424000.00","","2014"
"We Willis","105 New Plaza Dr","Greenville","SC","29617","8210","Brenda","Thomas","Manager","8642468858","Liquors-Retail","445310","445310","","","","Private","Greenville","2.00","748000.00","","2011"
"Weaverville ABC Liquor Store","7 Northridge Commons Pkwy # 10","Weaverville","NC","28787","7534","Ed","Doughtery","Manager","8286453399","Liquors-Retail","445310","","","","","Private","Buncombe","8.00","3584000.00","ABC.NC.GOV","2009"
"Weinhaus","86 Patton Ave","Asheville","NC","28801","3315","Hunt","Mallett","President","8282546453","Wines-Retail","445310","445310","","","","Private","Buncombe","4.00","1792000.00","WEINHAUS.COM","1984"
"Well Travelled Beer","201 S Center St # A","Goldsboro","NC","27530","4866","Samuel","Hodge","Owner","9197501476","Beer & Ale-Retail","445310","","","","","Private","Wayne","2.00","429000.00","WELLTRAVELLEDBEER.COM","2016"
"West End Package Store","335 W Broadway","Newport","TN","37821","2858","Patricia","Taylor","Owner","4236230449","Liquors-Retail","445310","445310","","","","Private","Cocke","3.00","641000.00","","1984"
"West Gate Wine & Spirits","1415 Wo Ezell Blvd # A","Spartanburg","SC","29301","1561","S","Patel","Owner","8645765039","Liquors-Retail","445310","445310","","","","Private","Spartanburg","1.00","344000.00","","2008"
"West Kingsport Package Store","2217 W Stone Dr","Kingsport","TN","37660","2339","Rosa","Witt","Manager","4232455581","Liquors-Retail","445310","445310","","","","Private","Sullivan","6.00","1456000.00","WESTKINGSPORTPACKAGE.COM","1984"
"West Side Package Store","770 W Andrew Johnson Hwy","Greeneville","TN","37745","5230","Gary","Johnson","Owner","4236396401","Liquors-Retail","445310","445310","","","","Private","Greene","4.00","861000.00","","1984"
"Westgate Wine Store","6405 Westgate Rd # 115","Raleigh","NC","27617","4757","Bill","Jackson","Owner","9197874290","Wines-Retail","445310","454110","","","","Private","Wake","6.00","115000.00","WESTGATEWINESTORE.COM","2011"
"Wheeler Street Package Store","500 Wheeler St","Marion","SC","29571","3044","Stacy","Smith","Owner","8434231621","Liquors-Retail","445310","445310","","","","Private","Marion","3.00","559000.00","","1993"
"Whiskey Sowers","113 N Fourth St","Mebane","NC","27302","2427","Tracy","Sowers","Owner","9195634447","Liquors-Retail","445310","722410","","","","Private","Alamance","5.00","1080000.00","WHISKEYSOWERS.COM","2015"
"Whistler Stop Spirits","1280 Eighteen Mile Rd","Central","SC","29630","8600","","","","8646395005","Liquors-Retail","445310","445310","","","","Private","Pickens","2.00","475000.00","","2014"
"Whistlestop Market Nc LLC","7825 Greenville Hwy","Brevard","NC","28712","4657","Diane","Slover","Owner","8288775081","Wines-Retail","445310","445110","445230","","","Private","Transylvania","3.00","550000.00","WHISTLESTOPMARKETNC.COM","2004"
"White Elephant Beer Co LLC","225 Market St","Mt Airy","NC","27030","3513","Tina P","Butcher","Owner","3366488277","Beer & Ale-Retail","445310","","","","","Private","Surry","4.00","871000.00","WHITEELEPHANTBEER.COM","2015"
"Whitlock's Package Store","185 S Ron Mcnair Blvd","Lake City","SC","29560","3296","Timmy","Keefe","Owner","8433948597","Liquors-Retail","445310","445310","","","","Private","Florence","4.00","865000.00","","1986"
"Wicked Weed Funkatorium","147 Coxe Ave","Asheville","NC","28801","4025","Walt","Dickinson","Manager","8285523203","Tasting Rooms","445310","312120","722511","","","Private","Buncombe","4.00","1792000.00","WICKEDWEEDBREWING.COM","2014"
"Wilkesboro ABC Store","4061 W US Highway 421","Wilkesboro","NC","28697","9173","Al","Absher","Manager","3369735017","Liquors-Retail","445310","445310","","","","Private","Wilkes","6.00","1220000.00","WILKESBOROABCLIQUORS.COM","2012"
"Wilkesboro ABC Store","798 Curtis Bridge Rd","Wilkesboro","NC","28697","2282","Al","Absher","Manager","3366677501","Beer & Ale-Retail","445310","","","","","Private","Wilkes","6.00","1220000.00","","1987"
"Windy Hill ABC","4001 Highway 17 S","North Myrtle Bch","SC","29582","5060","Nolan","Leonard","Owner","8432722389","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","1993"
"Wine & Beer 101 of Youngsville","135 W Main St","Youngsville","NC","27596","","","","","9195566878","Wines-Retail","445310","","","","","Private","Franklin","2.00","436000.00","","2017"
"Wine & Canvas","8320 Pineville Matthews Rd # 6","Charlotte","NC","28226","4781","","","","7044643232","Wines-Retail","445310","","","","","Private","Mecklenburg","7.00","3542000.00","","2017"
"Wine & Design","1620 Farrow Pkwy # A4","Myrtle Beach","SC","29577","2012","","","","8434920090","Wines-Retail","445310","","","","","Private","Horry","4.00","1357000.00","WINEANDDESIGN.COM","2015"
"Wine & Design","1910 S Glenburnie Rd # E","New Bern","NC","28562","5298","","","","2526334555","Wines-Retail","445310","611610","","","","Private","Craven","2.00","477000.00","WINEANDDESIGN.COM","2012"
"Wine & Design","1109 New Pointe Blvd # 6","Leland","NC","28451","4134","","","","9103997874","Wines-Retail","445310","451120","","","","Private","Brunswick","2.00","435000.00","WINEANDDESIGN.COM","2015"
"Wine & Design","4916 Hayes Pl","Wilson","NC","27893","9324","","","","2522065014","Liquors-Retail","445310","445310","445310","","","Private","Wilson","3.00","756000.00","","2015"
