"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Pink Rose Group LLC","4107 Oleander Dr","Wilmington","NC","28403","6838","","","","9107969463","Wines-Retail","445310","","","","","Private","New Hanover","4.00","349000.00","","2015"
"Pintville Craft Beer","329 Main St","Pineville","NC","28134","9210","Natasha","Young","Owner","7048351089","Beer & Ale-Retail","445310","","","","","Private","Mecklenburg","4.00","2024000.00","PINTVILLE.COM","2015"
"Pipe & Pint Inc","3716 Spring Garden St","Greensboro","NC","27407","1834","Larry","Christopher","Owner","3362188610","Beer & Ale-Retail","445310","453991","","","","Private","Guilford","4.00","1476000.00","THEPIPEANDPINT.NET","1999"
"Pirates Cove ABC","3809D Highway 17 S # D","North Myrtle Bch","SC","29582","5064","John","Stanley","Manager","8433611404","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","GATORHOLESPIRITS.COM","2001"
"Pit Row Wine & Liquor","4073 Highway 394","Bluff City","TN","37618","2951","Trey","Gurley","Other","4235736400","Wines-Retail","445310","","","","","Private","Sullivan","8.00","1941000.00","","2015"
"Pit Row Wine & Liquor","","Bristol","TN","37620","","","","","4235736401","Liquors-Retail","445310","","","","","Private","Sullivan","5.00","1214000.00","","2009"
"Pitt County ABC","246 3rd St","Ayden","NC","28513","","John","Loftin","Manager","2527468081","Liquors-Retail","445310","445310","","","","Private","Pitt","2.00","464000.00","","2006"
"Pitt County ABC Board","2307 S Memorial Dr","Greenville","NC","27834","5017","","","","2527562350","Liquors-Retail","445310","445310","","","","Private","Pitt","8.00","1854000.00","PITT.ABC.NC.GOV","2002"
"Pitt County ABC Store","2082 Central Park Dr","Winterville","NC","28590","7857","","","","2523557427","Liquors-Retail","445310","","","","","Private","Pitt","4.00","927000.00","PITT.ABC.NC.GOV","2015"
"Pitt County ABC Store","2000 E Arlington Blvd","Greenville","NC","27858","5875","","","","2527566562","Liquors-Retail","445310","","","","","Private","Pitt","2.00","464000.00","","2015"
"Pittsboro ABC Store","70 Sanford Rd","Pittsboro","NC","27312","","Lillian","Colomy","Manager","9195424421","Liquors-Retail","445310","445310","","","","Private","Chatham","3.00","560000.00","","1997"
"Pj's Coastal Discount","10223 Beach Dr SW","Carolina Shores","NC","28467","2703","","","","9105791011","Beer & Ale-Retail","445310","452210","447190","","","Private","Brunswick","5.00","1087000.00","CITGO.COM","1997"
