"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Jim's Variety Shop","719 E Mcgregor St","Pageland","SC","29728","2323","Jimmy","Jordan","Owner","8436725221","Liquors-Retail","445310","","","","","Private","Chesterfield","8.00","1492000.00","","2001"
"JJY Liquor Store","101 W Walnut Ave # 13","Dalton","GA","30720","8426","Yan Bin","Chen","CEO","7062710103","Liquors-Retail","445310","445310","","","","Private","Whitfield","1.00","277000.00","","2007"
"Jks Liquor Store","2742 E Cherokee St","Blacksburg","SC","29702","7377","","","","8649367737","Liquors-Retail","445310","445310","","","","Private","Cherokee","2.00","463000.00","","2005"
"John Inc","2200 Westinghouse Blvd # 101","Raleigh","NC","27604","2491","Mark","Najafie","Other","9197134310","Beer & Ale-Retail","445310","","","","","Private","Wake","2.00","39000.00","JOHNINCORPORATED.COM","2010"
"Johnny's Discount Party Shop","1985 Highway 321 N","Clover","SC","29710","6650","Johnny","Ridley","Owner","8032226757","Beer & Ale-Retail","445310","","","","","Private","York","2.00","948000.00","","1995"
"Johnston County ABC Store","160 Glen Rd","Garner","NC","27529","7901","Tina","Dickerson","Manager","9197730501","Liquors-Retail","445310","","","","","Private","Johnston","8.00","1909000.00","ABCSTORES.COM","2015"
"Jones ABC","712 Chester Ave","Great Falls","SC","29055","1212","Robert","Jones","Owner","8034823210","Liquors-Retail","445310","","","","","Private","Chester","3.00","578000.00","","2008"
"Jonesboro Wine & Spirits","1000 W Jackson Blvd","Jonesborough","TN","37659","5397","","","","4237883828","Liquors-Retail","445310","445310","","","","Private","Washington","5.00","1501000.00","","2012"
"Justice Brewing LLC","1127 Sweeten Creek Rd","Asheville","NC","28803","1728","Erica","Justice","Manager","8285752785","Beer & Ale-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","SWEETENCREEK.COM","2015"
"K Craft Beer & Wine","858 Brawley School Rd # B","Mooresville","NC","28117","8208","Kurt","Ostdiek","Owner","7047285061","Beer & Ale-Retail","445310","","","","","Private","Iredell","1.00","250000.00","KCRAFTBEERANDWINEMOORESVILLE.COM","2016"
"Katbird's Wine & Gourmet","230 E Main St","Abingdon","VA","24210","2904","Katherine","Rose","Owner","2766230001","Wines-Retail","445310","445299","722515","","","Private","Washington","2.00","459000.00","KATBIRDSWINE.COM","1996"
"Keiths ABC","186 Jersey St","Cheraw","SC","29520","2844","Keith","Smith","Owner","8435377797","Liquors-Retail","445310","445310","","","","Private","Chesterfield","1.00","187000.00","KEITHURBAN.NET","1984"
"Kelley's Package Store","4528 W Stone Dr","Kingsport","TN","37660","1049","John","Kelley","Owner","4232451533","Liquors-Retail","445310","445310","453998","561910","","Private","Sullivan","4.00","971000.00","","1997"
"Kenansville ABC Store","119 Mallard St","Kenansville","NC","28349","","Carla","Drinkwater","Manager","9102960939","Liquors-Retail","445310","","","","","Private","Duplin","3.00","543000.00","ABC.NC.GOV","1994"
"Kershaw ABC Store","7292 Kershaw Camden Hwy","Kershaw","SC","29067","","Robert C","Failejr","Owner","8034759023","Liquors-Retail","445310","445310","","","","Private","Lancaster","3.00","739000.00","","1993"
"Keys Liquor Corner","221 Sibley St","Spartanburg","SC","29301","1407","Betsy","Phetasa","Owner","8646999240","Liquors-Retail","445310","445310","","","","Private","Spartanburg","1.00","344000.00","","2012"
"Kings Mountain ABC Store","220 Cleveland Ave","Kings Mountain","NC","28086","3106","Aileene","Ormand","Manager","7047397449","Liquors-Retail","445310","","","","","Private","Cleveland","6.00","1281000.00","","1990"
"Klees ABC Package & Party Mart","703 N Main St","Clover","SC","29710","7382","Rocky","Patel","Owner","8032224346","Liquors-Retail","445310","445310","","","","Private","York","1.00","474000.00","","1984"
"Knox Whiskey Works LLC","516 W Jackson Ave","Knoxville","TN","37902","1334","Cynthia","Nichols","Owner","8655252372","Liquors-Retail","445310","424820","","","","Private","Knox","6.00","2114000.00","","2015"
"Knoxville Wine & Spirits","10741 Kingston Pike","Concord","TN","37934","3002","","","","8652887670","Wines-Retail","445310","","","","","Private","Knox","8.00","2818000.00","FARRAGUTWINES.COM","2013"
"L & J Spirits","959 Oakland Rd","Hamer","SC","29547","7149","","","","8437742096","Liquors-Retail","445310","","","","","Private","Dillon","2.00","404000.00","","2009"
"L F Wine Inc","800 Sunrunner Pl # 100","Wilmington","NC","28405","5320","Jessi","Reutter","Owner","9100001111","Wines-Retail","445310","","","","","Private","New Hanover","4.00","349000.00","","2016"
"La Bouteille","10 N Trade St","Tryon","NC","28782","3499","Vaishali","Block","Owner","8288596473","Wines-Retail","445310","","","","","Private","Polk","3.00","558000.00","LABOUTEILLE.NET","2015"
"Lake","5081 Charlotte Hwy","Clover","SC","29710","8098","Vince","Mugavero","Owner","8038318161","Liquors-Retail","445310","445310","","","","Private","York","4.00","1895000.00","LIQUORATTHELAKE.COM","1984"
