"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Casual Pint","10677 Hardin Valley Rd","Knoxville","TN","37932","1504","","","","8652004335","Beer & Ale-Retail","445310","","","","","Private","Knox","2.00","705000.00","HARDIN-VALLEY.THECASUALPINT.COM","2014"
"Caswell County Alcoholic","768 Nc Highway 700","Pelham","NC","27311","","Carolyn","Mc Cane","Manager","3363882407","Liquors-Retail","445310","813410","","","","Private","Caswell","3.00","414000.00","","1994"
"Catawba County ABC","8606 Nc Highway 150 E","Terrell","NC","28682","8711","Ronnie","Kaylor","Manager","8284782169","Liquors-Retail","445310","452319","","","","Private","Catawba","1.00","248000.00","","2009"
"Catawba County ABC Board","550 Southwest Blvd","Newton","NC","28658","4341","Lloyd","Hudson","Manager","7043250111","Liquors-Retail","445310","","","","","Private","Catawba","6.00","1487000.00","CATAWBACOUNTYABC.COM","2011"
"Catawba County ABC Board","522 Southwest Blvd","Newton","NC","28658","","","","","7043250111","Liquors-Retail","445310","","","","","Private","Catawba","5.00","1240000.00","CATAWBACOUNTYABC.COM","2015"
"Catawba County ABC Board","5640 Highway 150 E","Denver","NC","28037","","","","","7044839891","Liquors-Retail","445310","445310","","","","Private","Catawba","5.00","1125000.00","","2015"
"Catawba County ABC Store","312 1st Ave SW","Hickory","NC","28602","2939","Les","Carpenter","Manager","8283584597","Liquors-Retail","445310","","","","","Private","Catawba","5.00","1240000.00","CATAWBACOUNTYABC.COM","2005"
"Catawba County ABC Store","5640 Highway 150 E","Denver","NC","28037","","","","","7044839891","Liquors-Retail","445310","","","","","Private","Catawba","5.00","1240000.00","","1999"
"Causeway Wine & Spirits","","Pawleys Island","SC","29585","","","","","8433140452","Liquors-Retail","445310","445310","","","","Private","Georgetown","2.00","472000.00","","2014"
"Cave Taureau Wines","339 W Main St","Durham","NC","27701","3215","Noel","Sherr","Owner","9199089877","Liquors-Retail","445310","445310","","","","Private","Durham","3.00","826000.00","CAVETAUREAUWINES.COM","2013"
"Caviste","3443 Robinhood Rd # N","Winston Salem","NC","27106","4760","Russ","Anderson","Owner","3367743775","Wines-Retail","445310","","","","","Private","Forsyth","1.00","482000.00","THECAVISTEWS.COM","2011"
"Cedar Bluff Wines & Spirits","9141 Cross Park Dr # 101","Knoxville","TN","37923","4557","Elizabeth","Cox","Owner","8656900690","Liquors-Retail","445310","445310","445310","","","Private","Knox","7.00","2466000.00","CEDARBLUFFWINES.COM","1997"
"Celebration Liquors","1385 Celebration Blvd","Florence","SC","29501","5557","","","","8436657308","Liquors-Retail","445310","445310","","","","Private","Florence","2.00","433000.00","","2009"
"Cellar","1405 W Morris Blvd","Morristown","TN","37813","2828","Melissa","Robinson","Manager","4235860156","Liquors-Retail","445310","445310","454110","","","Private","Hamblen","4.00","929000.00","CELLAR.ORG","1995"
"Cellar 55","1351 E Broad St","Fuquay Varina","NC","27526","1966","William R","Wigington","Other","9194461156","Wines-Retail","445310","","","","","Private","Wake","2.00","39000.00","CELLAR55NC.COM","2017"
"Chadbourn ABC Board","521 Joe Brown Hwy N","Chadbourn","NC","28431","","Randy","Britt","Manager","9106544621","Liquors-Retail","445310","","","","","Private","Columbus","3.00","551000.00","","1999"
"Chapel Hill Wine Co","2809 Homestead Rd","Chapel Hill","NC","27516","2760","Todd","Wielar","Owner","9199681884","Wines-Retail","445310","453220","","","","Private","Orange","4.00","453000.00","CHAPELHILLWINECOMPANY.COM","2003"
"Charles ABC 3 LLC","5 Highway 86","Piedmont","SC","29673","1121","Charlie","Gunter","Owner","8648329352","Liquors-Retail","445310","445310","","","","Private","Greenville","2.00","748000.00","","2015"
"Charles' Place","518 S Main St","Randleman","NC","27317","2018","Rodney","Jernigan","Owner","3364983415","Beer & Ale-Retail","445310","","","","","Private","Randolph","3.00","641000.00","","1984"
"Charleston Beer Works Inc","480 King St","Charleston","TN","37310","","","","","8437272151","Beer & Ale-Retail","445310","","","","","Private","Bradley","2.00","618000.00","CHARLESTONBEERWORKS.COM","2017"
"Charleys","5 Highway 86","Piedmont","SC","29673","1121","Charles","Gunter","Owner","8648329352","Liquors-Retail","445310","","","","","Private","Greenville","2.00","748000.00","","2011"
"Charlie B's ABC & Party Shop","61 S Main St","Inman","SC","29349","1672","","","","8644730300","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","2011"
"Charlie T Locklear Vineyard","1872 Preston Rd","Maxton","NC","28364","8355","Daryl W","Locklear","Owner","9107341572","Wines-Retail","445310","","","","","Private","Robeson","1.00","218000.00","LOCKLEARWINERY.COM","2003"
"Charlie's ABC","119 Church St","Honea Path","SC","29654","1500","","","","8643690046","Liquors-Retail","445310","445310","","","","Private","Anderson","2.00","956000.00","","2010"
"Charlies ABC","103 Oneal St","Belton","SC","29627","","","","","8643381251","Liquors-Retail","445310","","","","","Private","Anderson","2.00","956000.00","","2014"
