"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Orange County ABC Board Store","112 John Earl St","Hillsborough","NC","27278","2672","Mike","Ewart","Manager","9197323206","Liquors-Retail","445310","445310","","","","Private","Orange","2.00","227000.00","","2008"
"Orange County ABC Store","251 Perkins Dr","Chapel Hill","NC","27514","1792","Sonya","Pennington","Manager","9199420096","Liquors-Retail","445310","445310","","","","Private","Orange","2.00","227000.00","ABC.NC.GOV","2000"
"Orange County ABC Store","7713 US 70","Mebane","NC","27302","8714","Angela","Willoughby","Manager","9195633811","Liquors-Retail","445310","","","","","Private","Orange","7.00","792000.00","","1999"
"Orange County ABC Store","5413 US Highway 70 W","Durham","NC","27705","9037","Robin","Braswell","Manager","9193832964","Liquors-Retail","445310","","","","","Private","Orange","2.00","227000.00","","1994"
"Orsini Wines","4328 Federal Dr # 101","Greensboro","NC","27410","8115","","","","7047288775","Wines-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","","2016"
"Out of the Blue","647 E Main St","Blue Ridge","GA","30513","4579","Sarah","Auman","Owner","7062582750","Wines-Retail","445310","","","","","Private","Fannin","3.00","694000.00","OUTOFZBLEU.COM","2011"
"Outdoor Beer Garden LLC","306 W Franklin St # G","Chapel Hill","NC","27516","2535","Jeffrey R","Boak","Owner","9190001111","Beer & Ale-Retail","445310","","","","","Private","Orange","4.00","453000.00","","2016"
"Owens Discount Beverages","8000 N Kings Hwy","Myrtle Beach","SC","29572","3057","David","Owens","Owner","8434496833","Beer & Ale-Retail","445310","445310","445310","","","Private","Horry","13.00","4408000.00","OWENSLIQUORS.COM","1988"
"Owens Liquors","13707 Ocean Hwy","Pawleys Island","SC","29585","7804","","","","8433140354","Liquors-Retail","445310","445310","","","","Private","Georgetown","2.00","472000.00","OWENSLIQUORS.COM","1988"
"P M Kicidis ABC Store","245 Thompson Blvd","Union","SC","29379","1841","Paul","Kicidis","President","8644274034","Liquors-Retail","445310","","","","","Private","Union","1.00","165000.00","","2005"
"Pacific Highway Wines-Spirits","4319 Waterleaf Ct # 102","Greensboro","NC","27410","8171","Mark","Giordano","President","3362797131","Wines-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","PACIFIC-HWY.COM","2013"
"Package Store 64","1120 Airport Rd","Copperhill","TN","37317","","Robbie","Cearley","Owner","4234969430","Beer & Ale-Retail","445310","","","","","Private","Polk","1.00","193000.00","","2005"
"Palace Liquor Store","3204 Rudy St","Knoxville","TN","37921","1924","Amanda","Mc Dowell","President","8655257770","Liquors-Retail","445310","","","","","Private","Knox","4.00","1409000.00","MAKEMEMODERN.COM","1974"
"Palate Bottle Shop & Reserve","1007 N 4th St","Wilmington","NC","28401","3013","Andrew","Bopes","Manager","9103991081","Liquors-Retail","445310","722410","","","","Private","New Hanover","5.00","436000.00","PALATENC.COM","2016"
"Palmetto Beverage Co","1006 S Broad St","Clinton","SC","29325","","Teresa","Mc Anly","Owner","8648336838","Liquors-Retail","445310","","","","","Private","Laurens","1.00","193000.00","","2007"
"Palmetto Liquors","415 Highway 28 Byp","Anderson","SC","29624","3044","Jon","White","Owner","8642248559","Liquors-Retail","445310","424490","445310","","","Private","Anderson","4.00","1911000.00","","2002"
"Palmetto Party Shop","606 Fleetwood Dr","Easley","SC","29640","1902","Scott","Davis","Manager","8648551005","Liquors-Retail","445310","453220","","","","Private","Pickens","2.00","475000.00","PALMETTOHEALTH.ORG","1996"
"Palmetto Spirits","1393 Tiger Blvd # 110","Clemson","SC","29631","2615","Daniel","Alberson","Manager","8646249494","Liquors-Retail","445310","445310","","","","Private","Pickens","4.00","950000.00","","2011"
"Palmetto Spirits","10239 Clemson Blvd # 190","Seneca","SC","29678","0862","John","Martin","Owner","8648869350","Liquors-Retail","445310","445310","","","","Private","Oconee","2.00","435000.00","","2006"
"Palmetto Spirts","2799 Reidville Rd","Spartanburg","SC","29301","3542","Steven","Bergan","Owner","8645958283","Liquors-Retail","445310","445310","","","","Private","Spartanburg","4.00","1375000.00","","2007"
"Papas & Beer","180 E Blackstock Rd","Spartanburg","SC","29301","2605","","","","8645861145","Beer & Ale-Retail","445310","","","","","Private","Spartanburg","2.00","688000.00","","2016"
"Papou's","470 W Main St","Sylva","NC","28779","5545","","","","8286313075","Wines-Retail","445310","","","","","Private","Jackson","2.00","430000.00","","2017"
"Papou's Wine Shop & Wine Bar","428 W Main St","Sylva","NC","28779","5548","","","","8280001111","Wines-Retail","445310","","","","","Private","Jackson","2.00","430000.00","","2015"
"Par-T-Pub","608 Ellis Ave","Maryville","TN","37804","5828","Lisa","White","Owner","8659844251","Beer & Ale-Retail","445310","722511","722410","","","Private","Blount","3.00","758000.00","PARTPUB.COM","1971"
"Park Liquor Store","1235 E Parkway # 1","Gatlinburg","TN","37738","5656","Diane","Knipp","Owner","8654366590","Liquors-Retail","445310","445310","445310","","","Private","Sevier","4.00","1014000.00","PARKLIQUOR.COM","1984"
"Park Place Liquor & Wine Pkg","1309 S John B Dennis Hwy # 2","Kingsport","TN","37660","5446","Alan","Hill","Owner","4237652900","Liquors-Retail","445310","445310","","","","Private","Sullivan","3.00","728000.00","PARKPLACELIQUOR.COM","2011"
"Parkway Discount Wine & Liquor","1901 S Roan St","Johnson City","TN","37601","7579","Kelly","Sherrod","Owner","4234342223","Liquors-Retail","445310","","","","","Private","Washington","6.00","1801000.00","PARKWAYWINEJC.COM","1995"
"Parkway Liquor Store","288 Parkway","Gatlinburg","TN","37738","5149","Mitch","Mc Carter","Owner","8654369635","Liquors-Retail","445310","445310","","","","Private","Sevier","3.00","760000.00","THEGREATSMOKEYMOUNTAINSPARKWAY.COM","1984"
"Parkway Liquors","2126 Highway 9 E # 8","Longs","SC","29568","5725","Paku","Bhagani","Vice President","8433996248","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2004"
"Parkway Spirits","427 the Pkwy","Greer","SC","29650","4522","Bernard F","Sullivan","Owner","8649680460","Liquors-Retail","445310","445310","","","","Private","Greenville","1.00","374000.00","","2002"
"Parkway Wine & Liquor","1182 Volunteer Pkwy # 3","Bristol","TN","37620","4686","Vickie","Dugger","Owner","4239681633","Wines-Retail","445310","445310","445310","","","Private","Sullivan","4.00","971000.00","LIQUORANDWINEBRISTOLTN.COM","1983"
"Party Beverage Co","5200 Western Blvd","Raleigh","NC","27606","1642","Kirpal","Singh","Owner","9198514386","Beer & Ale-Retail","445310","445310","453998","","","Private","Wake","2.00","39000.00","PARTYBEVERAGECOMPANY.COM","1985"
"Party Shop","661 Laurens Rd","Woodruff","SC","29388","2220","Charles","Theo","Owner","8644768772","Liquors-Retail","445310","453220","","","","Private","Spartanburg","5.00","1719000.00","PARTYPRO.COM","1999"
"Party Time of Chester Inc","181 1/2 Saluda St","Chester","SC","29706","1583","James","Pules","Owner","8035817849","Liquors-Retail","445310","","","","","Private","Chester","6.00","1155000.00","","1999"
"Pasquotank County ABC Board","860 Halstead Blvd","Elizabeth City","NC","27909","7045","","","","2523355501","Liquors-Retail","445310","921120","","","","County","Pasquotank","5.00","1169000.00","VISITELIZABETHCITY.COM","1990"
"Pass the Salt Cafe","1125 Military Cutoff Rd # N","Wilmington","NC","28405","3652","Daniel","Pennington","Owner","9102399479","Wines-Retail","445310","722511","","","","Private","New Hanover","6.00","523000.00","","2016"
"Patel Wine & Spirit","213 Radford Blvd","Dillon","SC","29536","2037","Vikram","Patel","Owner","8437743037","Liquors-Retail","445310","445310","","","","Private","Dillon","1.00","202000.00","","1996"
"Patel's Wine & Spirits II","109 Highway 301 S","Dillon","SC","29536","3447","Vikram","Patel","Owner","8438410550","Liquors-Retail","445310","445310","","","","Private","Dillon","1.00","202000.00","","1993"
"Pavilion Discount Beverage","215 Highway 17 N","Surfside Beach","SC","29575","6032","Chico","Patel","Manager","8432385266","Wines-Retail","445310","312230","424490","424810","424820","Private","Horry","6.00","2035000.00","PAVILIONBEVERAGES.COM","1979"
"Pavilion Discount Beverage","1301 Highway 17 S","North Myrtle Bch","SC","29582","3801","Seymour","Port","Manager","8432724844","Liquors-Retail","445310","424490","424810","424820","445310","Private","Horry","6.00","2035000.00","PAVILIONDISCOUNTBEVERAGE.COM","1979"
"Peabodys Wine & Beer Merchants","105 S","Boone","NC","28607","","","","","8282649476","Liquors-Retail","445310","","","","","Private","Watauga","5.00","1098000.00","PEABODYSWINEANDBEER.COM","1978"
"Peabodys Wine & Beer Merchants","1104 Highway 105","Boone","NC","28607","4617","Jeff","Collins","Owner","8282649476","Wines-Retail","445310","445299","722320","445310","518210","Private","Watauga","8.00","1757000.00","PEABODYSWINEANDBEER.COM","1978"
"Peace Street Market","804 W Peace St","Raleigh","NC","27605","1416","Mark","Lambam","Owner","9198347070","Beer & Ale-Retail","445310","722511","","","","Private","Wake","2.00","39000.00","BEERADVOCATE.COM","1996"
