"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Salisbury Wine Shop Inc","106 S Main St","Salisbury","NC","28144","4942","Robert S","Potter","President","7046365151","Wines-Retail","445310","","","","","Private","Rowan","2.00","412000.00","SALISBURYWINESHOP.COM","2011"
"Salty Turtle Beer Co","Hwy 50","Surf City","NC","28445","","","","","9100001111","Beer & Ale-Retail","445310","","","","","Private","Onslow","4.00","862000.00","SALTYTURTLEBEER.COM","2017"
"Sam's Package Store","1304 E Stone Dr","Kingsport","TN","37660","4129","Charles","Large","Owner","4230001111","Liquors-Retail","445310","445310","","","","Private","Sullivan","6.00","1456000.00","","1985"
"Sand Liquor Store","2901 Highway 17 S","North Myrtle Bch","SC","29582","4525","","","","8432730127","Liquors-Retail","445310","","","","","Private","Horry","2.00","679000.00","","2012"
"Sante Wine Bar & Tap Room","1 Page Ave # 146","Asheville","NC","28801","2394","","","","8282548188","Wines-Retail","445310","722410","","","","Private","Buncombe","2.00","896000.00","SANTEWINEBAR.COM","2016"
"Savis Wine","713 Pollock St","New Bern","NC","28562","5637","Cammie L","Lee","Owner","2526313329","Wines-Retail","445310","","","","","Private","Craven","2.00","477000.00","SAVIWINE.COM","2016"
"Scrooge's Spirits","4414 Clemson Blvd","Anderson","SC","29621","2300","Joe","Herold","President","8642261643","Liquors-Retail","445310","424490","445310","445310","445310","Private","Anderson","6.00","2867000.00","SCROOGES.COM","1997"
"Sea Horse Spirits","2608 Main St # C","Conway","SC","29526","3760","Bob","Balzotti","Owner","8434882244","Liquors-Retail","445310","","","","","Private","Horry","2.00","679000.00","","2005"
"Sea Mountain Spirits","200 Sea Mountain Hwy","North Myrtle Bch","SC","29582","2442","","","","8432492261","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","2008"
"Seaside Wine & Gourmet","6600 Beach Dr SW # 1","Ocean Isle Beach","NC","28469","4710","","","","9105793052","Wines-Retail","445310","","","","","Private","Brunswick","2.00","435000.00","","2018"
"Semora ABC Store","14116 Nc Highway 119 N","Semora","NC","27343","","Steve","Tatum","Manager","3362348381","Liquors-Retail","445310","","","","","Private","Caswell","3.00","414000.00","","1994"
"Session Beer Market","3604 S College Rd # C","Wilmington","NC","28412","2002","Michael","Donohoe","Owner","9103994576","Beer & Ale-Retail","445310","","","","","Private","New Hanover","1.00","88000.00","SESSIONBEERMARKET.COM","2017"
"Sez Package & Party Shop","787 Highway 1 S","Lugoff","SC","29078","","Erick","Zacour","Owner","8034088953","Liquors-Retail","445310","445310","","","","Private","Kershaw","3.00","613000.00","","2005"
"Shelby ABC","824 W Warren St","Shelby","NC","28150","5065","","","","7044827921","Liquors-Retail","445310","445310","","","","Private","Cleveland","11.00","2349000.00","","1990"
"Shinju Whiskey LLC","20468 Chartwell Center Dr # N","Cornelius","NC","28031","9642","John","Deberry","Vice President","7040001111","Liquors-Retail","445310","","","","","Private","Mecklenburg","4.00","2024000.00","","2017"
"Shiv Package Store","700 E Main St # 9C","Duncan","SC","29334","9115","Vikram","Contractor","Owner","8649495255","Liquors-Retail","445310","445310","","","","Private","Spartanburg","1.00","344000.00","JTAX.COM","1982"
"Shore Family Vineyard","2300 Sanders Ridge Ln","Yadkinville","NC","27055","","","","","3366771700","Wines-Retail","445310","","","","","Private","Yadkin","2.00","367000.00","","2013"
"Shoreline Liquor","3075 N Fraser St","Georgetown","SC","29440","6424","Deborah","Walsh","Owner","8434614949","Liquors-Retail","445310","","","","","Private","Georgetown","2.00","472000.00","","2018"
"Siler City ABC Store","1404 E 11th St","Siler City","NC","27344","2000","Nancy","Gooch","General Mgr","9196632619","Liquors-Retail","445310","445310","","","","Private","Chatham","7.00","1306000.00","EMBARQMAIL.COM","1985"
"Simons Liquor","706 W Washington St","Greenville","SC","29601","1430","Simon","Sfeir","Owner","8642330369","Liquors-Retail","445310","445310","","","","Private","Greenville","2.00","748000.00","","2003"
"Smith Liquors","320 White Horse Rd","Greenville","SC","29605","","Gary","Price","Owner","8642770769","Liquors-Retail","445310","445310","","","","Private","Greenville","1.00","374000.00","","1997"
"Smitty's Spirits","681 Highway 441 S","Clayton","GA","30525","5425","Susan","Smith","Owner","7067827593","Liquors-Retail","445310","","","","","Private","Rabun","2.00","444000.00","","1992"
"Smoky Mountain Wine & Spirits","7433 Chapman Hwy","Knoxville","TN","37920","6613","Everett","Christian","Owner","8655775804","Liquors-Retail","445310","445310","","","","Private","Knox","9.00","3170000.00","SMOKYMOUNTAINWINEANDSPIRITS.COM","1996"
"Socastee Spirits","5022 Dick Pond Rd # 7","Myrtle Beach","SC","29588","6827","Tom","Miscavage","Owner","8432941111","Liquors-Retail","445310","445310","","","","Private","Horry","4.00","1357000.00","POINTY.COM","2015"
"Soco Wine","2779 Soco Rd","Maggie Valley","NC","28751","8899","","","","8285089844","Wines-Retail","445310","","","","","Private","Haywood","2.00","441000.00","","2018"
"South Main Street Package","816 S Main St","Marion","SC","29571","4832","Stacey","Smith","Owner","8434239966","Liquors-Retail","445310","445310","","","","Private","Marion","3.00","559000.00","","1993"
"Southern Pines Growler Co","205 W Pennsylvania Ave","Southern Pines","NC","28387","5430","Gerry","Bateman","Manager","9106937742","Beer & Ale-Retail","445310","423840","453998","","","Private","Moore","3.00","720000.00","SPGROWLER.COM","2013"
"Southern Shores Craft Beer-Wn","109 Pier Master Pt # 120","Wilmington","NC","28412","5602","","","","9100001111","Beer & Ale-Retail","445310","","","","","Private","New Hanover","4.00","349000.00","","2017"
"Southern Spirits","9989 Charlotte Hwy","Fort Mill","SC","29707","7134","Don","Podrebarc","President","8035488888","Liquors-Retail","445310","445310","","","","Private","Lancaster","14.00","3445000.00","SOUTHERNSPIRITS.COM","2003"
"Southport ABC","714 N Howe St","Southport","NC","28461","3460","Todd","Dunn","Manager","9104576924","Liquors-Retail","445310","445310","","","","Private","Brunswick","4.00","869000.00","SOUTHPORTREALESTATENORTHCAROLINA.COM","2004"
"Southside Beer Gdn-Bottle Shop","2108 S Broad St","Winston Salem","NC","27127","2922","Josh","Ball","Owner","3368179974","Beer & Ale-Retail","445310","","","","","Private","Forsyth","4.00","1928000.00","","2018"
"Southside Package","194 E Currahee St","Toccoa","GA","30577","2662","Balwantsing","Singh","Owner","7068864904","Liquors-Retail","445310","","","","","Private","Stephens","2.00","477000.00","","1994"
"Southside Party Shop","604 S Church St","Spartanburg","SC","29306","5343","June","Mings","Owner","8645861155","Liquors-Retail","445310","453220","","","","Private","Spartanburg","4.00","1375000.00","","2016"
"Speedway Tavern","640 Old Easley Hwy","Greenville","SC","29611","6521","","","","8647298090","Liquors-Retail","445310","722410","445310","","","Private","Greenville","2.00","748000.00","","2018"
"Spirit & Wine Shoppe","8003 Warren H Abernathy Hwy","Spartanburg","SC","29301","2449","","","","8645761101","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","WINEENTHUSIAST.COM","2007"
"Spirit & Wine Shoppe","2650 E Main St","Spartanburg","SC","29307","1431","Sabrina","Worthy","Owner","8645794152","Liquors-Retail","445310","445310","","","","Private","Spartanburg","7.00","2406000.00","WINEENTHUSIAST.COM","1993"
"Spirit & Wine Shoppe","2040 S Pine St","Spartanburg","SC","29302","3315","Scott","Worthy","Owner","8645832811","Liquors-Retail","445310","445310","","","","Private","Spartanburg","6.00","2063000.00","","1984"
"Spirit II ABC","731 Gillsbrook Rd","Lancaster","SC","29720","1817","Bobby","Singh","Owner","8032868944","Liquors-Retail","445310","445310","","","","Private","Lancaster","1.00","247000.00","","1997"
"Spirit of 66","703 E Main St","Westminster","SC","29693","1936","Nick","Patel","Owner","8646476473","Liquors-Retail","445310","","","","","Private","Oconee","3.00","","","2019"
"Spirit Shoppe","1087 Filbert Hwy","York","SC","29745","2158","","","","8038185779","Liquors-Retail","445310","424820","","","","Private","York","1.00","474000.00","","2012"
"Spirit Sisters LLC","3320 4th Ave","Conway","SC","29527","6057","Mary","Donovan","Owner","8434883236","Liquors-Retail","445310","","","","","Private","Horry","2.00","679000.00","","2018"
"Spirits ABC","604 S Market St","Lancaster","SC","29720","3631","Pushpa","Patel","Owner","8032856361","Liquors-Retail","445310","445310","","","","Private","Lancaster","2.00","493000.00","","1996"
"Spirits Unlimited","3298 Abbeville Hwy","Anderson","SC","29624","4370","Glen","Vehorn","Owner","8642962334","Liquors-Retail","445310","445310","","","","Private","Anderson","2.00","956000.00","SPIRITSUNLIMITED.COM","2003"
"Spirits-Florence Abc-Florence","320 N Coit St","Florence","SC","29501","2519","B L","Burr","Owner","8436696062","Liquors-Retail","445310","445310","","","","Private","Florence","2.00","433000.00","","1984"
"Sportsmen's Lounge","103 W Main St","Pilot Mountain","NC","27041","9303","Les","Bennett","Owner","3363682004","Beer & Ale-Retail","445310","","","","","Private","Surry","4.00","871000.00","","1984"
"Squire's Square","601 N 17th St","Knoxville","TN","37921","6758","George","Taylor","Owner","8655233861","Liquors-Retail","445310","445310","","","","Private","Knox","4.00","1409000.00","","2001"
"St John St Liquor & Party Shop","385 E Saint John St","Spartanburg","SC","29302","1548","","","","8645730066","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","2004"
"St Line Spirits","8344 Highway 441 N","Dillard","GA","30537","1733","William Ray","Davis III","CEO","7067462005","Liquors-Retail","445310","","","","","Private","Rabun","5.00","1110000.00","","2015"
"St Pauls Board-Alcohol Control","948 W Broad St","St Pauls","NC","28384","1465","Charles E","Dove","Manager","9108655734","Liquors-Retail","445310","","","","","Private","Robeson","6.00","1308000.00","","2009"
"Stalvey's Liquor Store","1605 4th Ave","Conway","SC","29526","5037","Ronald","Stalvey","Owner","8432487468","Liquors-Retail","445310","445310","","","","Private","Horry","2.00","679000.00","","1997"
"Source: Employer information is provided by Infogroup, Omaha, NE,800/555-5211"
"Copyright 2019 All Rights Reserved. "
"Note:  The infoUSA data shall not be used in any manner as a factor in establishing an employer's eligibility for credit. "
"The information or data obtained from the employer database shall not be used in any manner as a factor in establishing an employer's eligibility for credit. Data represents employer database as of March 2019 "
