"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"De Gustibus Inc","5850 Fayetteville Rd # 102","Durham","NC","27713","6289","Danny","Moran","Owner","9198063111","Wines-Retail","445310","","","","","Private","Durham","5.00","1376000.00","WINECELLARNC.COM","1996"
"De Maison Selections","101 Cosgrove Ave # 220","Chapel Hill","NC","27514","5277","Andre","Tamers","Owner","9199334245","Wines-Retail","445310","423990","","","","Private","Orange","3.00","340000.00","DEMAISONSELECTIONS.COM","1940"
"Dellwood ABC","2721 Dellwood Rd","Waynesville","NC","28786","2671","Nancy","Grant","Manager","8289440283","Liquors-Retail","445310","445310","","","","Private","Haywood","5.00","1102000.00","DELLWOOABC.COM","2009"
"Deluxe Liquor Store","262 Magnolia St","Spartanburg","SC","29306","2329","","","","8645823281","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","1991"
"Deweys Liquor LLC","7050 Highway 90 # B","Longs","SC","29568","6232","Dwayne","Waller","Owner","8437341101","Liquors-Retail","445310","","","","","Private","Horry","4.00","1357000.00","","2013"
"Dirtbag Ales","3623 Legion Rd","Hope Mills","NC","28348","8413","","","","9104262537","Beer & Ale-Retail","445310","312120","","","","Private","Cumberland","4.00","946000.00","DIRTBAGALES.COM","2014"
"Discount Package Store","2716 N John B Dennis Hwy","Kingsport","TN","37660","4795","Shawn","Hurst","Manager","4232882681","Liquors-Retail","445310","445310","","","","Private","Sullivan","3.00","728000.00","","1986"
"Discount Spirits of Helen","50 Yonah St","Helen","GA","30545","3113","Michael","Lizdas","Owner","7068787050","Liquors-Retail","445310","423830","","","","Private","White","3.00","693000.00","","2007"
"Discount Tobacco Mart","403 Foothills Mall Dr","Maryville","TN","37801","2324","Nick","Patel","Owner","8659819640","Beer & Ale-Retail","445310","453991","","","","Private","Blount","2.00","506000.00","","1996"
"Divinity Beer Systems","174 Bradley Branch Rd","Arden","NC","28704","9237","Daniel Roth","Hardin","Other","8286760352","Beer & Ale-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","","2013"
"Dixie Discount Beverage","604 S Kings Hwy","Myrtle Beach","SC","29577","4411","Barry","Morrison","Owner","8439469463","Liquors-Retail","445310","","","","","Private","Horry","4.00","1357000.00","","1998"
"Dixie Lee Wines & Liquors","13044 Kingston Pike","Knoxville","TN","37934","0923","Linda","Taylor","Owner","8659665551","Liquors-Retail","445310","445310","","","","Private","Knox","10.00","3522000.00","DIXIELEEWINES.COM","1960"
"Dobson ABC Board","816 E Atkins St","Dobson","NC","27017","","Ralph","Holt","Manager","3363564103","Liquors-Retail","445310","445310","","","","Private","Surry","3.00","653000.00","","2006"
"Don Julio Tequilas LLC","12516 Capital Blvd # 104","Wake Forest","NC","27587","4658","Santiago","Romo","Owner","9190001111","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","","2015"
"Donohue's Fine Wine & Spirits","1935 E Main St","Easley","SC","29640","3843","Natalie","Donohue","Owner","8648592009","Wines-Retail","445310","445310","","","","Private","Pickens","4.00","950000.00","DONOHUESFINEWINEANDSPIRITS.COM","2002"
"Downtown Spirits","705 W North 1st St","Seneca","SC","29678","2526","","","","8648881326","Liquors-Retail","445310","445310","","","","Private","Oconee","2.00","435000.00","","2009"
"Downtown Wine & Spirits","407 S Gay St","Knoxville","TN","37902","1104","David","Euan","Owner","8655257575","Liquors-Retail","445310","445310","","","","Private","Knox","5.00","1761000.00","DTWINE.COM","2006"
"Dragonfly Wine Market","101 W Warren St","Shelby","NC","28150","5356","Jamie","Coulter","Other","7044663578","Wines-Retail","445310","445299","445299","","","Private","Cleveland","2.00","427000.00","DRAGONFLYWINEMARKET.COM","2012"
"Drink","215 Glenwood Ave # C","Raleigh","NC","27603","1438","Cameron","Bridger","Owner","9196731365","Wines-Retail","445310","","","","","Private","Wake","1.00","20000.00","DRINKRALEIGH.COM","2017"
"Duck Deli","1221 Duck Rd","Duck","NC","27949","4561","Ron","Forlano","Owner","2522613354","Beer & Ale-Retail","445310","722511","722513","","","Private","Dare","3.00","706000.00","","2015"
"Duncan Liquors","1636 E Main St","Duncan","SC","29334","9706","","","","8644860916","Liquors-Retail","445310","445310","","","","Private","Spartanburg","2.00","688000.00","","2008"
"Duplin Winery","4650 Highway 17 S","North Myrtle Bch","SC","29582","5357","Jonathan","Fussell","Owner","8436635550","Wines-Retail","445310","312130","","","","Private","Horry","4.00","1357000.00","DUPLINWINERY.COM","2015"
"Durham County ABC Board","2634 Durham Chapel Hill # 100","Durham","NC","27707","2875","Perlie","Davis","Director","9194936773","Liquors-Retail","445310","","","","","Private","Durham","3.00","826000.00","DURHAMABC.COM","2008"
"Durham County ABC Board","4717 Hope Valley Rd","Durham","NC","27707","5617","","","","9194199811","Liquors-Retail","445310","","","","","Private","Durham","5.00","1376000.00","DURHAMABC.COM","2011"
"Durham County ABC Board","1930 Holloway St","Durham","NC","27703","2212","Kevin","Lynk","Manager","9194196217","Liquors-Retail","445310","","","","","Private","Durham","6.00","1651000.00","DURHAMABC.COM","2009"
"Durham County ABC Board","2806 Hillsborough Rd","Durham","NC","27705","4046","","","","9192862525","Liquors-Retail","445310","","","","","Private","Durham","5.00","1376000.00","DURHAMABC.COM","2009"
"Durham County ABC Board","2121 Tw Alexander Dr","Morrisville","NC","27560","6815","Steve","Stroud","Manager","9195989761","Liquors-Retail","445310","","","","","Private","Durham","4.00","1101000.00","DURHAMABC.COM","2009"
