"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"ABC Store of Monroe","1771 Dickerson Blvd","Monroe","NC","28110","2757","Michael","Hinkel","Manager","7042831033","Liquors-Retail","445310","","","","","Private","Union","11.00","2524000.00","","1998"
"ABC STORE OF WJ","404 S Jefferson Ave","West Jefferson","NC","28694","","Tony","Lyall","Manager","3368462221","Liquors-Retail","445310","","","","","Private","Ashe","3.00","584000.00","ABC.NC.GOV","2012"
"ABC Store Orange County","106 Nc 54","Carrboro","NC","27510","1559","George","Walsh","Manager","9199329754","Liquors-Retail","445310","","","","","Private","Orange","3.00","340000.00","ORANGEABC.COM","2007"
"ABC Store Smithfield","417 S Brightleaf Blvd","Smithfield","NC","27577","4074","Swade","Carroll","Manager","9199347249","Liquors-Retail","445310","445310","","","","Private","Johnston","6.00","1432000.00","","2010"
"ABC Store-Benson","121 N Railroad St","Benson","NC","27504","1357","Swade","Carroll","Manager","9198945459","Liquors-Retail","445310","","","","","Private","Johnston","2.00","478000.00","","1996"
"ABC Store-Clayton","Hwy 42 E","Clayton","NC","27520","","","","","9195538141","Liquors-Retail","445310","445310","","","","Private","Johnston","3.00","716000.00","","2016"
"ABC Store-Clayton","12487 US 70 Hwy","Clayton","NC","27520","","Marshall","Creech","Manager","9195536829","Liquors-Retail","445310","445310","","","","Private","Johnston","5.00","1193000.00","","1999"
"ABC Store-Kenly","306 S Church St","Kenly","NC","27542","5006","Swade","Carrol","Manager","9192843121","Liquors-Retail","445310","","","","","Private","Johnston","2.00","478000.00","ABC.NC.GOV","1994"
"ABC Store-Maggie Valley","3931 Soco Rd","Maggie Valley","NC","28751","","Nancy","Hesel","Manager","8289263481","Liquors-Retail","445310","445310","","","","Private","Haywood","5.00","1102000.00","MAGGIEVALLEYNC.GOV","1994"
"ABC Store-Orange County","201 Cornelius St","Hillsborough","NC","27278","","Cassandra","Collins","Manager","9197322836","Liquors-Retail","445310","445310","","","","Private","Orange","2.00","227000.00","ORANGEABC.COM","2004"
"ABC Stores","157 Broadway St","Asheville","NC","28801","2345","Barbara","Burnette","Manager","8282539380","Liquors-Retail","445310","424490","","","","Private","Buncombe","2.00","896000.00","ASHEVILLEABCBOARD.COM","2004"
"ABC Stores","1101 Rotherwood Rd # 101","Greensboro","NC","27406","3843","Preston","Ingold","Manager","3363339511","Liquors-Retail","445310","","","","","Private","Guilford","5.00","1845000.00","GREENSBOROABC.COM","2004"
"ABC Stores","5 E Duncan St","Lillington","NC","27546","","Judy","Bethune","Manager","9108934127","Liquors-Retail","445310","445310","","","","Private","Harnett","7.00","1412000.00","ABC.NC.GOV","1984"
"ABC Stores","2004 2nd St","Richlands","VA","24641","2306","Janis","Dye","Site Manager","2769649411","Liquors-Retail","445310","","","","","Private","Tazewell","6.00","1326000.00","","2012"
"ABC Stores","301 Market Dr # H","Emporia","VA","23847","1220","Ladonna","Vaughan","Manager","4346343751","Liquors-Retail","445310","","","","","Private","Emporia","5.00","623000.00","VIRGINIAABC.COM","2012"
"ABC Stores","3923 W Gate City Blvd","Greensboro","NC","27407","4611","Donnie","Coghill","Manager","3362928199","Liquors-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","GREENSBOROABCBROAD.COM","2001"
"ABC Stores","4639 W Market St # C","Greensboro","NC","27407","1258","Larry","Motsinger","Manager","3362928211","Liquors-Retail","445310","","","","","Private","Guilford","5.00","1845000.00","ABCSTORES.COM","1994"
"ABC Stores","3716 Battleground Ave # A","Greensboro","NC","27410","2362","Keith","Williamson","Manager","3362882383","Liquors-Retail","445310","","","","","Private","Guilford","5.00","1845000.00","GREENSBOROABC.COM","1994"
"ABC Stores","403 Pisgah Church Rd","Greensboro","NC","27455","2521","Mike","Pacsente","Manager","3362821456","Liquors-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","GREENSBOROABC.COM","1994"
"ABC Stores","3100 E Market St","Greensboro","NC","27405","7528","","","","3362745929","Liquors-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","GREENSBOROABC.COM","1994"
"ABC Stores","13934 US 19 Whites Plaza","Andrews","NC","28901","","Donna","Cutshaw","Manager","8283215706","Liquors-Retail","445310","","","","","Private","Cherokee","4.00","786000.00","","2003"
"ABC Stores","217 Moyton Ave","Stantonsburg","NC","27883","","Larry","Eitherage","Manager","2522383390","Liquors-Retail","445310","","","","","Private","Wilson","1.00","252000.00","ABC.COM","1998"
"ABC Stores","2801 Ward Blvd","Wilson","NC","27893","1733","Curtis","Brady","Manager","2522437223","Liquors-Retail","445310","445310","","","","Private","Wilson","3.00","756000.00","ABCSTORES.COM","1998"
"ABC Stores","441 S Main St","Rutherfordton","NC","28139","2910","Russ","Hester","Manager","8282872701","Liquors-Retail","445310","","","","","Private","Rutherford","4.00","784000.00","","2000"
"ABC Stores","2731 Ring Rd","Greensboro","NC","27405","5129","Phillip","Guiess","Manager","3366213466","Liquors-Retail","445310","","","","","Private","Guilford","4.00","1476000.00","","2009"
"ABC Stores","854 Union St S","Concord","NC","28025","5731","","","","7047865211","Liquors-Retail","445310","","","","","Private","Cabarrus","3.00","697000.00","CONCORDNC.AREAGUIDES.NET","1984"
"ABC Stores","2116 S Horner Blvd","Sanford","NC","27330","5820","Lee","Dowd","Manager","9197762520","Liquors-Retail","445310","","","","","Private","Lee","7.00","1489000.00","ABCSTORES.COM","2001"
"ABC Stores","2109 Avent Ferry Rd # 106","Raleigh","NC","27606","2137","Jon","Caldinarro","Manager","9198324278","Liquors-Retail","445310","","","","","Private","Wake","2.00","39000.00","WAKEABC.COM","1937"
"ABC Stores","1222 New Bern Ave","Raleigh","NC","27610","2530","Michael","Underwood","Manager","9198328262","Liquors-Retail","445310","445310","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores","2649 Appliance Ct","Raleigh","NC","27604","2468","Vance","Clayton","Manager","9198286457","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores","6301 Town Center Dr","Raleigh","NC","27616","2826","Billy","Wade","Manager","9198767799","Liquors-Retail","445310","","","","","Private","Wake","5.00","96000.00","WAKEABC.COM","1937"
"ABC Stores","204 US 70 Hwy W","Garner","NC","27529","","","","","9197729551","Liquors-Retail","445310","","","","","Private","Wake","2.00","39000.00","WAKEABC.COM","1937"
"ABC Stores","7336 Creedmoor Rd","Raleigh","NC","27613","1637","Jerry","Hill","Manager","9198489547","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores","704 Money Ct","Knightdale","NC","27545","7431","Hannah","Liles","Manager","9192663559","Liquors-Retail","445310","","","","","Private","Wake","4.00","77000.00","ABCSTORES.COM","1995"
"ABC Stores","1415 North Carolina Highway 55","Apex","NC","27523","","","","","9193871513","Liquors-Retail","445310","","","","","Private","Wake","2.00","39000.00","WAKEABC.COM","1937"
"ABC Stores","414 W Wilson St","Tarboro","NC","27886","4237","Linda","Rogers","Owner","2528234040","Liquors-Retail","445310","","","","","Private","Edgecombe","3.00","666000.00","ABCSTORES.COM","1995"
"ABC Stores","104 E Old Highway 74 76","Lake Waccamaw","NC","28450","2512","Carolyn","Moore","Manager","9106463830","Liquors-Retail","445310","","","","","Private","Columbus","5.00","918000.00","ABCSTORES.COM","1999"
"ABC Stores","807 Merrimon Ave","Asheville","NC","28804","2404","Jaclyn","Joyner","Manager","8282546531","Liquors-Retail","445310","","","","","Private","Buncombe","4.00","1792000.00","","2000"
"ABC Stores","1930 E Main St","Albemarle","NC","28001","5334","Karen","Cranford","Manager","7049822246","Liquors-Retail","445310","445310","","","","Private","Stanly","11.00","2256000.00","","2000"
"ABC Stores","2612 Forest Hills Rd SW","Wilson","NC","27893","4431","Linda","Jones","Manager","2522372218","Liquors-Retail","445310","","","","","Private","Wilson","2.00","504000.00","ABCSTORES.COM","2000"
"ABC Stores","273 NE Broad St","Southern Pines","NC","28387","5526","Pam","Smith","Manager","9106928193","Liquors-Retail","445310","","","","","Private","Moore","9.00","2158000.00","ABC.NC.GOV","2013"
"ABC Stores","8700 Emerald Dr","Emerald Isle","NC","28594","2400","Patsy","Parsons","Manager","2523546000","Liquors-Retail","445310","","","","","Private","Carteret","4.00","824000.00","","1991"
"ABC Stores Wake County","881 Falcate Dr","Wake Forest","NC","27587","9172","Debra","Dunn","Manager","9195565121","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores Wake County","3320 Olympia Dr","Raleigh","NC","27603","3402","","","","9197796841","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores Wake County","411 Woodburn Rd","Raleigh","NC","27605","","","","","9198320496","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","","2013"
"ABC Stores Wake County","6494 Tryon Rd","Cary","NC","27518","7050","","","","9192350988","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores Wake County","420 Woodburn Rd","Raleigh","NC","27605","1324","Joel","Keith","Manager","9198320496","Liquors-Retail","445310","","","","","Private","Wake","4.00","77000.00","WAKEABC.COM","1937"
"ABC Stores Wake County","665 Cary Towne Blvd","Cary","NC","27511","4219","Ellery","Oliver","Manager","9194690434","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"ABC Stores Wake County","6816 Davis Cir","Raleigh","NC","27613","3114","Gary","Bowden","Manager","9197874108","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","","2013"
"ABC Stores Wake County","1420 N Arendell Ave","Zebulon","NC","27597","8734","John","Latshaw","Manager","9194041813","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"Source: Employer information is provided by Infogroup, Omaha, NE,800/555-5211"
