"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Liquor Pointe II","2153 E Main St","Duncan","SC","29334","8724","Bo","Karow","Owner","8644860777","Liquors-Retail","445310","445310","","","","Private","Spartanburg","1.00","344000.00","","2008"
"Liquor Stores","500 Bragg Blvd","E Fayetteville","NC","28301","4812","","","","2083344014","Liquors-Retail","445310","","","","","Private","Cumberland","4.00","946000.00","","2018"
"Liquor Xpress","6615 Calhoun Memorial Hwy","Easley","SC","29640","3681","","","","8644426502","Liquors-Retail","445310","445310","","","","Private","Pickens","2.00","475000.00","","2015"
"Liquorland of Lake City","221 N Ron Mcnair Blvd","Lake City","SC","29560","2437","","","","8433744030","Liquors-Retail","445310","445310","","","","Private","Florence","2.00","433000.00","","2010"
"Liquors of Florence","1200 W Evans St","Florence","SC","29501","3322","Mel","Patel","Manager","8436650407","Liquors-Retail","445310","445310","","","","Private","Florence","2.00","433000.00","KINGFLORENCEGM.COM","1984"
"Litchfield Liquors","115 Willbrook Blvd # G","Pawleys Island","SC","29585","6542","Michael","Hoopes","Owner","8432350634","Liquors-Retail","445310","","","","","Private","Georgetown","5.00","1178000.00","LITCHFIELDWINEANDLIQUORS.COM","1988"
"Little John's Package Store","1922 E Magnolia Ave","Knoxville","TN","37917","8024","John","Roberts","Owner","8655238573","Liquors-Retail","445310","445310","","","","Private","Knox","6.00","2114000.00","","1984"
"Locust ABC Board","1008 Main St W","Locust","NC","28097","9774","Heather","Huegey","Manager","7047810302","Liquors-Retail","445310","","","","","Private","Stanly","8.00","1641000.00","","2008"
"Lucky Stop ABC","1385 Charlotte Hwy","Lancaster","SC","29720","2806","","","","8032858730","Liquors-Retail","445310","445310","","","","Private","Lancaster","2.00","493000.00","","2015"
"Lumberton ABC Board","150 Wintergreen Dr","Lumberton","NC","28358","1100","Rod","Page","Manager","9106189022","Liquors-Retail","445310","","","","","Private","Robeson","12.00","2616000.00","LUMBERTONHONDA.COM","1997"
"Lumina Wine & Beer","152 Sunset Ave","Asheboro","NC","27203","5634","Patricia V","Banker","Other","3366101060","Wines-Retail","445310","","","","","Private","Randolph","5.00","1069000.00","","2009"
"Lytle's Lounge","147 Old Converse Rd","Spartanburg","SC","29307","1258","Melvin","Lytle","Owner","8645794676","Beer & Ale-Retail","445310","","","","","Private","Spartanburg","2.00","688000.00","","1984"
"M C's Package Store","7500 Strawberry Plains Pike","Knoxville","TN","37924","4311","Chester","Crowley","Owner","8659321226","Liquors-Retail","445310","445310","445310","","","Private","Knox","2.00","705000.00","MCSWINESANDLIQUOR.COM","2001"
"M J ABC","728 Dewitt Dr # C","Lugoff","SC","29078","9069","Monty","Jones","Owner","8034381170","Liquors-Retail","445310","445310","","","","Private","Kershaw","2.00","409000.00","","2011"
"Mac's ABC Package Shop","102 Cashua Ferry Rd","Darlington","SC","29532","2302","Joe","Mac Lamb","Owner","8433952322","Liquors-Retail","445310","","","","","Private","Darlington","2.00","431000.00","","2009"
"Mad Anthonys Bottle Shop-Beer","180 Legion Dr","Waynesville","NC","28786","4436","","","","8282469249","Beer & Ale-Retail","445310","","","","","Private","Haywood","4.00","882000.00","","2015"
"Maganas Liquors","604 Martin Luther King Jr Blvd","Dalton","GA","30721","3204","Baldavar","Magana","Owner","7062782601","Liquors-Retail","445310","445310","","","","Private","Whitfield","2.00","553000.00","","1985"
"Maggie B's Wine & Spec Store","10 S Main St # C","Weaverville","NC","28787","4508","Elsteth","Brown","Owner","8286451111","Wines-Retail","445310","","","","","Private","Buncombe","1.00","448000.00","MAGGIEBSWINE.COM","2009"
"Magnolia Package Store","3122 E Magnolia Ave","Knoxville","TN","37914","4522","","","","8656339008","Liquors-Retail","445310","445310","","","","Private","Knox","4.00","1409000.00","","2008"
"Major ABC & Party Shop","326 E Shockley Ferry Rd","Anderson","SC","29624","3824","Franky","Major","Owner","8642263317","Liquors-Retail","445310","532289","","","","Private","Anderson","2.00","956000.00","","1984"
"Major Discount Wine & Spirits","154 Civic Center Blvd","Anderson","SC","29625","1749","","","","8644018447","Liquors-Retail","445310","425120","445310","","","Private","Anderson","2.00","956000.00","","2014"
"Mansours Liquors","2111 N Pleasantburg Dr","Greenville","SC","29609","3136","","","","8645688858","Liquors-Retail","445310","","","","","Private","Greenville","2.00","748000.00","","2016"
"Margaret & Maxwell","5 All Souls Cres","Asheville","NC","28803","2671","Todd","Jones","Owner","8285523905","Wines-Retail","445310","","","","","Private","Buncombe","2.00","","ASHEVILLEWINESALON.COM","2019"
"Martin County ABC Store","708 N Main St","Robersonville","NC","27871","","Chris","Bullock","Manager","2527953939","Liquors-Retail","445310","","","","","Private","Martin","1.00","309000.00","MARTINCOUNTYNCGOV.COM","1994"
"Mary's Spirits & Fine Wines","212 E Washington St","Rogersville","TN","37857","3320","David","Watson","Owner","4232933130","Liquors-Retail","445310","","","","","Private","Hawkins","6.00","1077000.00","JCLUTCH.COM","2013"
"Matt's ABC Store","772 Oak Forest Ln","Myrtle Beach","SC","29577","9736","Matt","Nichols","Owner","8434452670","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","MATSHOP.COM","2006"
"Mauldin Liquors","516 N Main St","Mauldin","SC","29662","2308","Lisa","Patel","Manager","8642880951","Wines-Retail","445310","445310","","","","Private","Greenville","2.00","748000.00","","1984"
